"SEQNO","ALCNO","NEWID","UCC","PUBFLAG"
75,0,2004275,"520110","2"
75,0,2019414,"520110","2"
50,0,2180193,"520110","2"
63,0,2186673,"520110","2"
33,0,2206912,"520110","2"
41,0,2205032,"520110","2"
63,0,2220052,"520110","2"
44,0,1999405,"520110","2"
44,0,2003885,"520110","2"
43,0,2000435,"520110","2"
87,0,2006015,"520110","2"
52,0,1997175,"520110","2"
60,0,2012065,"520110","2"
25,0,2000015,"520110","2"
80,0,2007205,"520110","2"
86,0,2155785,"520110","2"
52,0,2155705,"520110","2"
33,0,2008555,"520110","2"
35,0,2012325,"520110","2"
55,0,2034155,"520110","2"
39,0,2032034,"520110","2"
47,0,2036324,"520110","2"
46,0,2171483,"520110","2"
53,0,2190933,"520110","2"
77,0,2180863,"520110","2"
54,0,2192063,"520110","2"
31,0,2186103,"520110","2"
56,0,2188073,"520110","2"
45,0,2185543,"520110","2"
64,0,2189033,"520110","2"
49,0,2204142,"520110","2"
44,0,2205452,"520110","2"
65,0,2212635,"520110","2"
33,0,2206052,"520110","2"
49,0,2218792,"520110","2"
40,0,2200402,"520110","2"
52,0,2212952,"520110","2"
31,0,2200902,"520110","2"
114,0,2216252,"520110","2"
75,0,1996025,"520110","2"
44,2,2008845,"520110","2"
53,0,1995965,"520110","2"
36,0,2008345,"520110","2"
57,0,2155825,"520110","2"
84,0,2022074,"520110","2"
59,0,2027634,"520110","2"
84,0,2038944,"520110","2"
33,0,2164624,"520110","2"
51,0,2026074,"520110","2"
81,0,2031854,"520110","2"
39,0,2021864,"520110","2"
59,0,2175453,"520110","2"
57,0,2192453,"520110","2"
67,0,2179433,"520110","2"
74,0,2189783,"520110","2"
75,0,2189783,"520110","2"
74,0,2183883,"520110","2"
43,1,2216602,"520110","2"
42,0,2215492,"520110","2"
38,0,2201452,"520110","2"
66,0,2222422,"520110","2"
88,0,2209892,"520110","2"
81,0,2225692,"520110","2"
52,0,2018055,"520110","2"
48,0,2011765,"520110","2"
49,0,2011765,"520110","2"
76,0,2010505,"520110","2"
68,0,2025865,"520110","2"
62,0,2194835,"520110","2"
76,0,2009485,"520110","2"
31,0,1998505,"520110","2"
44,0,2040524,"520110","2"
54,0,2021504,"520110","2"
55,0,2021504,"520110","2"
63,0,2033724,"520110","2"
64,0,2033724,"520110","2"
65,0,2033724,"520110","2"
90,0,2032344,"520110","2"
66,0,2030124,"520110","2"
67,0,2030124,"520110","2"
49,0,2035114,"520110","2"
66,0,2185263,"520110","2"
67,0,2185263,"520110","2"
68,0,2185263,"520110","2"
51,0,2175543,"520110","2"
53,0,2169903,"520110","2"
54,0,2169903,"520110","2"
81,0,2175493,"520110","2"
46,0,2182233,"520110","2"
29,1,2226773,"520110","2"
48,0,2191423,"520110","2"
88,0,2203702,"520110","2"
46,0,2212032,"520110","2"
63,0,2195825,"520110","2"
30,0,2222002,"520110","2"
77,0,2209502,"520110","2"
80,0,2210402,"520110","2"
51,0,2213132,"520110","2"
38,0,2004015,"520110","2"
41,0,2023044,"520110","2"
42,0,2023044,"520110","2"
33,0,2035244,"520110","2"
27,0,2225824,"520110","2"
33,0,2019654,"520110","2"
54,0,2033164,"520110","2"
29,0,2184193,"520110","2"
23,0,2169183,"520110","2"
43,0,2214542,"520110","2"
41,0,2202283,"520110","2"
32,0,2202312,"520110","2"
48,0,2205622,"520110","2"
53,0,2011455,"520110","2"
64,0,2017865,"520110","2"
45,0,2004745,"520110","2"
43,0,2016195,"520110","2"
31,0,2011035,"520110","2"
34,0,2038464,"520110","2"
35,0,2038464,"520110","2"
44,0,2188723,"520110","2"
45,0,2188723,"520110","2"
51,0,2171773,"520110","2"
42,2,2196505,"520110","2"
42,3,2196505,"520110","2"
36,0,2222032,"520110","2"
37,0,2210742,"520110","2"
38,0,2210742,"520110","2"
42,0,2203682,"520110","2"
25,0,2226114,"520110","2"
72,0,2015875,"520110","2"
45,0,1998945,"520110","2"
37,0,1998885,"520110","2"
87,0,1998035,"520110","2"
48,0,2004555,"520110","2"
62,0,2009235,"520110","2"
55,0,2012875,"520110","2"
35,0,2008445,"520110","2"
36,0,2008445,"520110","2"
58,0,1999085,"520110","2"
77,2,2012835,"520110","2"
42,0,2010155,"520110","2"
59,0,2013575,"520110","2"
101,0,2016355,"520110","2"
