"SEQNO","ALCNO","NEWID","UCC","PUBFLAG"
43,0,2252493,"520110","2"
61,0,2258603,"520110","2"
32,0,2261163,"520110","2"
52,0,2267103,"520110","2"
37,0,2258683,"520110","2"
53,0,2265353,"520110","2"
54,2,2272343,"520110","2"
31,0,2267473,"520110","2"
68,0,2297693,"520110","2"
55,2,2284963,"520110","2"
70,0,2304013,"520110","2"
55,0,2293533,"520110","2"
52,0,2286463,"520110","2"
29,0,2237152,"520110","2"
59,0,2243552,"520110","2"
44,0,2238082,"520110","2"
42,0,2253372,"520110","2"
43,0,2253372,"520110","2"
43,0,2251002,"520110","2"
38,0,2266032,"520110","2"
42,0,2261552,"520110","2"
50,2,2301052,"520110","2"
54,0,2300922,"520110","2"
49,0,2282262,"520110","2"
49,0,2307502,"520110","2"
41,0,2293792,"520110","2"
58,0,2302572,"520110","2"
63,0,2189945,"520110","2"
47,0,2194225,"520110","2"
60,0,2196825,"520110","2"
55,0,2188235,"520110","2"
36,0,2186645,"520110","2"
37,0,2222174,"520110","2"
38,0,2222174,"520110","2"
43,0,2217824,"520110","2"
44,0,2217824,"520110","2"
52,0,2206364,"520110","2"
53,0,2206364,"520110","2"
44,0,2199724,"520110","2"
45,0,2207994,"520110","2"
46,0,2207994,"520110","2"
60,0,2217624,"520110","2"
66,0,2212124,"520110","2"
67,0,2212124,"520110","2"
37,0,2203944,"520110","2"
44,0,2217084,"520110","2"
76,0,2240863,"520110","2"
38,0,2250933,"520110","2"
82,0,2246533,"520110","2"
83,0,2246533,"520110","2"
38,0,2224805,"520110","2"
69,0,2257243,"520110","2"
54,0,2255033,"520110","2"
33,0,2285843,"520110","2"
34,0,2285843,"520110","2"
49,0,2247012,"520110","2"
58,0,2261102,"520110","2"
86,0,2294232,"520110","2"
87,0,2294232,"520110","2"
77,0,2301212,"520110","2"
35,0,2291712,"520110","2"
65,0,2299022,"520110","2"
44,0,2290592,"520110","2"
49,0,2287652,"520110","2"
63,0,2327734,"520110","2"
64,0,2327734,"520110","2"
47,0,2186495,"520110","2"
57,0,2182775,"520110","2"
60,0,2174925,"520110","2"
65,0,2181895,"520110","2"
39,0,2169345,"520110","2"
75,0,2171715,"520110","2"
66,0,2191155,"520110","2"
77,0,2181975,"520110","2"
62,0,2184165,"520110","2"
69,0,2177695,"520110","2"
41,0,2226855,"520110","2"
53,0,2190135,"520110","2"
68,0,2181885,"520110","2"
60,0,2186735,"520110","2"
43,0,2172885,"520110","2"
74,0,2172305,"520110","2"
76,0,2198784,"520110","2"
60,0,2209434,"520110","2"
61,0,2212514,"520110","2"
63,0,2212514,"520110","2"
48,0,2206144,"520110","2"
49,0,2206144,"520110","2"
90,0,2215944,"520110","2"
38,0,2221274,"520110","2"
40,0,2220714,"520110","2"
42,0,2248753,"520110","2"
83,0,2251993,"520110","2"
45,0,2229403,"520110","2"
68,0,2248153,"520110","2"
35,0,2261513,"520110","2"
81,0,2266883,"520110","2"
40,0,2307313,"520110","2"
31,0,2295533,"520110","2"
58,0,2302633,"520110","2"
38,0,2299203,"520110","2"
71,0,2287913,"520110","2"
40,0,2232842,"520110","2"
46,0,2230652,"520110","2"
47,0,2230652,"520110","2"
44,2,2241522,"520110","2"
35,0,2270372,"520110","2"
78,0,2254212,"520110","2"
79,0,2254212,"520110","2"
60,0,2278772,"520110","2"
88,0,2271752,"520110","2"
82,0,2269572,"520110","2"
67,0,2302182,"520110","2"
54,0,2306372,"520110","2"
90,0,2293462,"520110","2"
35,0,2307692,"520110","2"
36,0,2307692,"520110","2"
50,0,2339904,"520110","2"
52,0,2333324,"520110","2"
74,0,2181205,"520110","2"
79,0,2183935,"520110","2"
43,0,2193335,"520110","2"
57,0,2267325,"520110","2"
58,0,2267325,"520110","2"
58,0,2204504,"520110","2"
38,0,2251744,"520110","2"
70,0,2208494,"520110","2"
97,0,2217984,"520110","2"
98,0,2217984,"520110","2"
69,0,2204124,"520110","2"
70,0,2204124,"520110","2"
91,0,2216284,"520110","2"
66,0,2238753,"520110","2"
104,0,2243723,"520110","2"
71,0,2235153,"520110","2"
53,0,2243803,"520110","2"
65,0,2259193,"520110","2"
43,0,2271443,"520110","2"
76,0,2306633,"520110","2"
88,0,2306923,"520110","2"
89,0,2306923,"520110","2"
88,0,2293763,"520110","2"
89,0,2293763,"520110","2"
57,0,2236962,"520110","2"
78,0,2239412,"520110","2"
37,0,2249652,"520110","2"
40,1,2234122,"520110","2"
54,0,2231752,"520110","2"
96,0,2278562,"520110","2"
97,0,2278562,"520110","2"
75,0,2269762,"520110","2"
40,0,2260552,"520110","2"
61,0,2296102,"520110","2"
52,0,2298482,"520110","2"
53,0,2300522,"520110","2"
54,0,2300522,"520110","2"
29,0,2189495,"520110","2"
56,0,2173615,"520110","2"
58,0,2187015,"520110","2"
35,0,2190975,"520110","2"
71,0,2185335,"520110","2"
60,0,2186225,"520110","2"
42,0,2192125,"520110","2"
54,0,2220084,"520110","2"
61,0,2217504,"520110","2"
45,0,2227194,"520110","2"
43,0,2221244,"520110","2"
