"NEWID","MEMBNO","PYMT2009","HWUSED09","QSTIMPYX","PYMT_009","HWUS_D09","QSTI_PYX"
2010663,2,"1","2",250,"D","D","D"
2001203,1,"1","1",250,"D","D","D"
2001203,2,"1","1",250,"D","D","D"
2011383,2,"1","3",250,"D","D","D"
2011383,3,"1","2",250,"D","D","D"
2003663,1,"1","3",250,"D","D","D"
2016023,1,"1","3",250,"D","D","D"
2002193,2,"1","2",250,"D","D","D"
1987654,1,"1","2",250,"D","D","D"
1987654,2,"1","3",250,"D","D","D"
1991714,1,"1","1",250,"D","D","D"
1999564,1,"2",,.,"D","A","A"
1974204,2,"1","3",250,"D","D","D"
1987394,1,"1","3",250,"D","D","D"
1978524,1,"1","3",250,"D","D","D"
2008584,1,,,.,"C","A","A"
2008584,2,,,.,"C","A","A"
2003163,1,"2",,.,"D","A","A"
2000203,1,"1","1",250,"D","D","D"
2000203,2,"1","1",250,"D","D","D"
1995783,1,"2",,.,"D","A","A"
2009303,1,"1","3",250,"D","D","D"
2003733,1,"2",,.,"D","A","A"
1979324,2,"1","1",250,"D","D","D"
1991754,1,"1","3",250,"D","D","D"
1991754,3,"1","1",250,"D","D","D"
1981364,1,"1","1",250,"D","D","D"
1981364,2,"1","1",250,"D","D","D"
1986944,1,"1","1",250,"D","D","D"
2006083,1,"1","1",250,"D","D","D"
2000263,1,"1","3",250,"D","D","D"
2006363,1,"1","1",250,"D","D","D"
2006363,2,"1","1",250,"D","D","D"
2010693,1,"1","2",250,"D","D","D"
2001824,1,"2",,.,"D","A","A"
1994584,1,"2",,.,"D","A","A"
1987204,1,"2",,.,"D","A","A"
2015163,2,"1","3",250,"D","D","D"
1998723,1,"1","1",250,"D","D","D"
2006043,1,"1","1",250,"D","D","D"
2017473,1,"1","1",250,"D","D","D"
2017473,3,"1","1",250,"D","D","D"
2010433,1,"1","1",250,"D","D","D"
2001453,1,"1","3",250,"D","D","D"
1995893,2,"1","2",250,"D","D","D"
1998083,1,"1","1",250,"D","D","D"
1998083,2,"2",,.,"D","A","A"
1978814,1,"1","2",250,"D","D","D"
1978814,2,"1","2",250,"D","D","D"
1978104,1,"2",,.,"D","A","A"
1982404,1,"2",,.,"D","A","A"
2017093,1,"1","2",250,"D","D","D"
2000383,1,"1","2",250,"D","D","D"
1998743,2,"1","3",250,"D","D","D"
2000134,5,"2",,.,"D","A","A"
2008874,1,"1","3",250,"D","D","D"
1975054,2,"1","3",250,"D","D","D"
1982044,1,"1","1",250,"D","D","D"
1978424,4,"1","1",250,"D","D","D"
1987454,3,"2",,.,"D","A","A"
2013103,1,"1",,250,"D","C","D"
1998713,1,"1","2",250,"D","D","D"
1998713,2,"1","2",250,"D","D","D"
