"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFRT3MCX","QFRT_MCX","QREP3MCX","QREP_MCX"
"20083",1940552,22,0,"1",.,"A",50,"D"
"20083",1941142,18,0,"1",.,"A",10,"D"
"20083",1941792,32,0,"1",.,"A",350,"D"
"20083",1941905,15,0,"1",0,"D",.,"A"
"20083",1942855,26,0,"1",.,"A",.,"A"
"20083",1943072,36,0,"1",.,"A",35,"D"
"20083",1944772,25,0,"1",.,"A",50,"D"
"20083",1945014,43,0,"1",.,"A",2,"D"
"20083",1945563,18,0,"1",200,"D",.,"A"
"20083",1945634,24,0,"1",.,"A",15,"D"
"20083",1946212,24,0,"1",.,"A",3,"D"
"20083",1946892,25,0,"1",250,"D",.,"A"
"20083",1947632,22,0,"1",0,"D",.,"A"
"20083",1947692,18,0,"1",0,"D",.,"A"
"20083",1948664,35,0,"1",.,"A",450,"D"
"20083",1950392,49,0,"1",.,"A",150,"D"
"20084",1885385,36,0,"1",340,"D",.,"A"
"20084",1886165,36,0,"1",.,"A",50,"D"
"20084",1886625,32,0,"1",.,"A",350,"D"
"20084",1890075,24,0,"1",.,"A",0,"D"
"20084",1891095,19,0,"1",.,"A",1,"D"
"20084",1895545,27,0,"1",.,"A",125,"D"
"20084",1899735,37,0,"1",.,"A",80,"D"
"20084",1900595,18,0,"1",444,"D",.,"A"
"20084",1906224,21,0,"1",.,"A",40,"D"
"20084",1907764,19,0,"1",.,"A",50,"D"
"20084",1907994,25,0,"1",.,"A",300,"D"
"20084",1908254,23,0,"1",.,"A",85,"D"
"20084",1909674,40,0,"1",.,"A",50,"D"
"20084",1909934,41,0,"1",.,"A",17,"D"
"20084",1911344,23,0,"1",.,"A",30,"D"
"20084",1912204,26,0,"1",.,"A",400,"D"
"20084",1914714,37,0,"1",.,"A",150,"D"
"20084",1918014,28,0,"1",360,"D",.,"A"
"20084",1920844,19,0,"1",.,"A",30,"D"
"20084",1924574,46,0,"1",.,"A",2,"D"
"20084",1929223,14,0,"1",.,"A",.,"A"
"20084",1930033,15,0,"1",.,"A",350,"D"
"20084",1930193,17,0,"1",.,"A",.,"A"
"20084",1930843,18,0,"1",.,"A",30,"D"
"20084",1932393,62,0,"1",.,"A",56,"D"
"20084",1932943,31,0,"1",38,"D",.,"A"
"20084",1933204,20,0,"1",.,"A",.,"A"
"20084",1936073,21,0,"1",.,"A",0,"D"
"20084",1936363,16,0,"1",.,"A",.,"A"
"20084",1937163,44,0,"1",.,"A",893,"D"
"20084",1939733,18,0,"1",.,"A",150,"D"
"20084",1940453,26,0,"1",.,"A",50,"D"
"20084",1940783,18,0,"1",.,"A",0,"D"
"20084",1948665,31,0,"1",.,"A",350,"D"
"20084",1948894,20,0,"1",.,"A",0,"D"
"20084",1950103,36,0,"1",.,"A",35,"D"
"20084",1951282,14,0,"1",.,"A",.,"A"
"20084",1951322,15,0,"1",.,"A",90,"D"
"20084",1953042,35,0,"1",.,"A",0,"D"
"20084",1953382,36,0,"1",.,"A",10,"D"
"20084",1954003,15,0,"1",.,"A",5000,"D"
"20084",1954692,40,0,"1",.,"A",30,"D"
"20084",1955472,28,0,"1",.,"A",0,"D"
"20084",1957672,15,0,"1",.,"A",.,"A"
"20084",1957832,17,0,"1",.,"A",.,"A"
"20084",1958592,18,0,"1",.,"A",.,"A"
"20084",1958642,16,0,"1",.,"A",135,"D"
"20084",1958845,17,0,"1",0,"D",.,"A"
"20084",1959702,21,0,"1",.,"A",1000,"D"
"20084",1960465,17,0,"1",1200,"D",.,"A"
"20084",1963402,27,0,"1",.,"A",40,"D"
"20084",1964402,22,0,"1",.,"A",46,"D"
"20084",1967513,28,0,"1",180,"D",.,"A"
"20084",1967712,39,0,"1",.,"A",8,"D"
"20084",1967982,15,0,"1",.,"A",100,"D"
"20084",1968512,27,0,"1",.,"A",495,"D"
"20084",1970252,14,0,"1",.,"A",.,"A"
"20084",1970725,27,0,"1",261,"D",.,"A"
"20084",1970752,27,0,"1",.,"A",600,"D"
"20084",1970972,19,0,"1",.,"A",.,"A"
"20084",1972543,20,0,"1",.,"A",900,"D"
"20084",1972552,22,0,"1",0,"D",.,"A"
"20091",1907995,25,0,"1",.,"A",800,"D"
"20091",1909065,19,0,"1",.,"A",300,"D"
"20091",1909105,27,0,"1",.,"A",350,"D"
"20091",1910945,45,0,"1",.,"A",5,"D"
"20091",1912415,34,0,"1",.,"A",200,"D"
"20091",1913405,40,0,"1",30,"D",.,"A"
"20091",1914055,29,0,"1",.,"A",0,"D"
"20091",1914385,36,0,"1",.,"A",70,"D"
"20091",1919735,38,0,"1",.,"A",8,"D"
"20091",1922885,25,0,"1",.,"A",800,"D"
"20091",1929224,14,0,"1",.,"A",.,"A"
"20091",1929355,35,0,"1",.,"A",2,"D"
"20091",1929624,30,0,"1",.,"A",45,"D"
"20091",1933354,24,0,"1",450,"D",.,"A"
"20091",1938745,15,0,"1",.,"A",.,"A"
"20091",1940494,30,0,"1",.,"A",70,"D"
"20091",1942544,24,0,"1",.,"A",170,"D"
"20091",1944644,18,0,"1",.,"A",90,"D"
"20091",1946314,14,0,"1",220,"D",.,"A"
"20091",1946614,25,0,"1",.,"A",305,"D"
"20091",1946854,38,0,"1",65,"D",.,"A"
"20091",1948094,29,0,"1",212,"D",.,"A"
"20091",1948504,26,0,"1",.,"A",5,"D"
"20091",1950074,30,0,"1",.,"A",62,"D"
"20091",1950104,41,0,"1",.,"A",21,"D"
"20091",1951283,14,0,"1",.,"A",.,"A"
"20091",1953043,45,0,"1",.,"A",5,"D"
"20091",1957833,17,0,"1",.,"A",.,"A"
"20091",1957873,34,0,"1",700,"D",.,"A"
"20091",1958593,17,0,"1",.,"A",.,"A"
"20091",1962233,19,0,"1",.,"A",48,"D"
"20091",1962453,15,0,"1",200,"D",.,"A"
"20091",1963804,37,0,"1",.,"A",35,"D"
"20091",1964983,43,0,"1",.,"A",25,"D"
"20091",1967403,19,0,"1",.,"A",112,"D"
"20091",1968463,50,0,"1",.,"A",5,"D"
"20091",1970113,47,0,"1",.,"A",124,"D"
"20091",1970973,22,0,"1",.,"A",.,"A"
"20091",1972544,23,0,"1",.,"A",1300,"D"
"20091",1973163,15,0,"1",.,"A",280,"D"
"20091",1974012,15,0,"1",.,"A",.,"A"
"20091",1974154,18,0,"1",.,"A",.,"A"
"20091",1974884,15,0,"1",.,"A",.,"A"
"20091",1975412,31,0,"1",.,"A",224,"D"
"20091",1975822,29,0,"1",500,"D",.,"A"
"20091",1975952,58,0,"1",.,"A",100,"D"
"20091",1977852,35,0,"1",.,"A",45,"D"
"20091",1979083,15,0,"1",.,"A",.,"A"
"20091",1980162,35,0,"1",.,"A",280,"D"
"20091",1980522,33,0,"1",.,"A",35,"D"
"20091",1983294,25,0,"1",.,"A",200,"D"
"20091",1983362,42,0,"1",.,"A",580,"D"
"20091",1983932,19,0,"1",.,"A",0,"D"
"20091",1987472,33,0,"1",.,"A",200,"D"
"20091",1987725,15,0,"1",.,"A",.,"A"
"20091",1988112,33,0,"1",.,"A",331,"D"
"20091",1988854,18,0,"1",75,"D",.,"A"
"20091",1988942,28,0,"1",.,"A",200,"D"
"20091",1991474,19,0,"1",.,"A",75,"D"
"20091",1991752,26,0,"1",.,"A",35,"D"
"20091",1992672,34,0,"1",176,"D",.,"A"
"20091",1993882,15,0,"1",.,"A",.,"A"
"20091",1994393,17,0,"1",525,"D",.,"A"
"20091",1994792,24,0,"1",.,"A",490,"D"
