"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20081",1822415,82,0,"1","420","D","12","D",131,"D","","A","","A","","A","","A"
"20081",1822455,85,0,"2","410","D","11","D",80,"D","","A","","A","","A","","A"
"20081",1822505,62,0,"1","420","D","11","D",140,"D","","A","","A","","A","","A"
"20081",1822595,56,0,"1","420","D","12","D",80,"D","","A","","A","","A","","A"
"20081",1822675,117,0,"1","400","D","02","D",209,"D","","A","","A","","A","","A"
"20081",1822745,55,0,"2","420","D","11","D",195,"D","","A","","A","","A","","A"
"20081",1822785,88,0,"1","410","D","02","D",70,"D","","A","","A","","A","","A"
"20081",1822785,89,0,"1","420","D","01","D",229,"D","","A","","A","","A","","A"
"20081",1822785,90,0,"1","420","D","02","D",71,"D","","A","","A","","A","","A"
"20081",1822855,52,0,"2","420","D","11","D",54,"D","","A","","A","","A","","A"
"20081",1822895,44,0,"1","420","D","11","D",64,"D","","A","","A","","A","","A"
"20081",1822925,81,0,"1","400","D","12","D",20,"D","","A","","A","","A","","A"
"20081",1823035,47,0,"1","410","D","01","D",21,"D","","A","","A","","A","","A"
"20081",1823035,48,0,"2","420","D","12","D",55,"D","","A","","A","","A","","A"
"20081",1823045,43,0,"1","410","D","11","D",40,"D","","A","","A","","A","","A"
"20081",1823155,72,0,"1","420","D","02","D",140,"D","","A","","A","","A","","A"
"20081",1823195,44,0,"1","400","D","11","D",10,"D","","A","","A","","A","","A"
"20081",1823355,42,0,"1","420","D","01","D",54,"D","","A","","A","","A","","A"
"20081",1823355,43,0,"1","410","D","01","D",40,"D","","A","","A","","A","","A"
"20081",1823385,60,0,"1","420","D","12","D",114,"D","","A","","A","","A","","A"
"20081",1823455,47,0,"1","410","D","02","D",39,"D","","A","","A","","A","","A"
"20081",1823475,51,0,"1","420","D","01","D",159,"D","","A","","A","","A","","A"
"20081",1823575,61,0,"1","420","D","01","D",32,"D","","A","","A","","A","","A"
"20081",1823675,56,0,"1","410","D","11","D",50,"D","","A","","A","","A","","A"
"20081",1823715,96,0,"1","420","D","12","D",4,"D","","A","","A","","A","","A"
"20081",1823725,84,0,"1","420","D","11","D",128,"D","","A","","A","","A","","A"
"20081",1823925,60,0,"1","420","D","02","D",166,"D","","A","","A","","A","","A"
"20081",1823975,47,0,"1","420","D","02","D",60,"D","","A","","A","","A","","A"
"20081",1824085,51,0,"1","420","D","01","D",45,"D","","A","","A","","A","","A"
"20081",1824265,53,0,"1","410","D","12","D",50,"D","","A","","A","","A","","A"
"20081",1824265,54,0,"1","420","D","12","D",40,"D","","A","","A","","A","","A"
"20081",1824265,55,0,"1","420","D","12","D",194,"D","","A","","A","","A","","A"
"20081",1824275,48,0,"1","410","D","11","D",40,"D","","A","","A","","A","","A"
"20081",1824275,49,0,"1","420","D","12","D",60,"D","","A","","A","","A","","A"
"20081",1824285,72,0,"1","400","D","02","D",18,"D","","A","","A","","A","","A"
"20081",1824285,73,0,"2","420","D","12","D",70,"D","","A","","A","","A","","A"
"20081",1824375,58,0,"1","420","D","12","D",81,"D","","A","","A","","A","","A"
"20081",1824445,52,0,"1","420","D","02","D",200,"F","","A","","A","","A","","A"
"20081",1824485,48,0,"1","400","D","12","D",49,"D","","A","","A","","A","","A"
"20081",1824485,49,0,"2","420","D","11","D",50,"D","","A","","A","","A","","A"
"20081",1824505,34,0,"1","420","D","01","D",60,"D","","A","","A","","A","","A"
"20081",1824535,47,0,"2","420","D","11","D",100,"D","","A","","A","","A","","A"
"20081",1824545,54,0,"1","410","D","01","D",220,"D","","A","","A","","A","","A"
"20081",1824565,117,0,"1","420","D","11","D",95,"D","","A","","A","","A","","A"
"20081",1824685,36,0,"1","410","D","01","D",100,"D","","A","","A","","A","","A"
"20081",1824725,64,0,"1","400","D","01","D",13,"D","","A","","A","","A","","A"
"20081",1824785,87,0,"1","410","D","01","D",26,"D","","A","","A","","A","","A"
"20081",1824785,88,0,"1","420","D","01","D",63,"D","","A","","A","","A","","A"
"20081",1824815,61,0,"1","420","D","11","D",64,"D","","A","","A","","A","","A"
"20081",1824815,62,0,"1","410","D","11","D",14,"D","","A","","A","","A","","A"
"20081",1824825,59,0,"1","420","D","11","D",45,"D","","A","","A","","A","","A"
"20081",1824895,54,0,"1","410","D","01","D",90,"D","","A","","A","","A","","A"
"20081",1824915,35,0,"1","400","D","10","D",10,"D","","A","","A","","A","","A"
"20081",1824925,55,0,"1","400","D","01","D",14,"D","","A","","A","","A","","A"
"20081",1824955,103,0,"2","430","D","12","D",.,"H","425","D","415","D","","A","","A"
"20081",1824955,103,1,"2","420","D","12","D",57,"E","","A","","A","","A","","A"
"20081",1824955,103,2,"2","420","D","12","D",18,"E","","A","","A","","A","","A"
"20081",1825035,56,0,"1","420","D","11","D",36,"D","","A","","A","","A","","A"
"20081",1825095,47,0,"1","420","D","02","D",225,"D","","A","","A","","A","","A"
"20081",1825245,81,0,"2","420","D","10","D",325,"D","","A","","A","","A","","A"
"20081",1825295,49,0,"1","420","D","12","D",88,"D","","A","","A","","A","","A"
"20081",1825305,46,0,"1","410","D","01","D",11,"D","","A","","A","","A","","A"
"20081",1825305,47,0,"1","420","D","01","D",58,"D","","A","","A","","A","","A"
"20081",1825345,53,0,"1","420","D","12","D",160,"D","","A","","A","","A","","A"
"20081",1825365,56,0,"1","420","D","12","D",29,"D","","A","","A","","A","","A"
