"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOH","PROP0NOH","OWNYH","OWNYH_","PAIDLOAN","PAID_OAN","PRIMPLUS","PRIM_LUS","JINTPDX","JINTPDX_","JLCPRINX","JLCP_INX","LOAN_NOH","LOAN0NOH","TOTOWED","TOTOWED_"
"20091",1974542,105,0,"5","01","D","100","D","1","D",.0475,"D",457,"D",803,"D","01","D",38500,"D"
"20091",1974832,59,0,"5","01","D","100","D","1","D",.0475,"D",618,"D",42,"D","01","D",52000,"D"
"20091",1974832,60,0,"5","02","D","300","D","1","D",.0475,"D",.,"A",.,"A","01","D",97000,"D"
"20091",1975492,44,0,"5","01","D","100","D","1","D",.0475,"D",131,"D",169,"D","01","D",11000,"D"
"20091",1975732,49,0,"5","01","D","100","D","1","D",.0475,"D",83,"D",1417,"D","01","D",7000,"D"
"20091",1975812,49,0,"5","01","D","100","D","1","D",.0475,"D",338,"D",3245,"D","01","D",28500,"D"
"20091",1975832,40,0,"5","01","D","100","D","1","D",.0475,"D",95,"D",940,"D","01","D",8000,"D"
"20091",1975952,97,0,"5","01","D","100","D","1","D",.0475,"D",540,"D",210,"D","01","D",45500,"D"
"20091",1975982,35,0,"5","01","D","100","D","1","D",.0475,"D",304,"D",446,"D","01","D",25600,"D"
"20091",1976122,36,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1976152,74,0,"5","01","D","100","D","1","D",.0475,"D",297,"D",-297,"D","01","D",25000,"D"
"20091",1976162,45,0,"5","01","D","100","D","1","D",.0475,"D",594,"D",29729,"T","01","D",50000,"D"
"20091",1976442,38,0,"5","01","D","100","D","1","D",.0475,"D",119,"D",1081,"D","01","D",10000,"D"
"20091",1976822,52,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",35000,"D"
"20091",1977232,22,0,"5","01","D","100","D","1","D",.0475,"D",154,"D",50,"D","01","D",13000,"D"
"20091",1977332,38,0,"1","01","D","100","D","1","D",.0475,"D",475,"F",350,"F","01","D",40000,"F"
"20091",1977484,28,0,"5","01","D","100","D","2","D",.0475,"D",208,"F",401,"F","01","D",17500,"F"
"20091",1977532,43,0,"1","01","D","100","D","1","D",.0475,"D",451,"D",398,"D","01","D",38000,"D"
"20091",1977622,48,0,"5","01","D","100","D","1","D",.0475,"D",1188,"D",1234,"D","01","D",100000,"D"
"20091",1977722,45,0,"5","01","D","100","D","1","D",.0475,"D",772,"D",956,"D","01","D",65000,"D"
"20091",1977812,52,0,"5","01","D","100","D","1","D",.0475,"D",297,"D",225,"D","01","D",25000,"D"
"20091",1977902,29,0,"5","01","D","100","D","1","D",.0475,"D",1876,"D",124,"D","01","D",158000,"D"
"20091",1978342,67,0,"5","01","D","100","D","2","D",.0475,"D",178,"F",422,"F","01","D",15000,"F"
"20091",1978372,62,0,"5","01","D","100","D","1","D",.0475,"D",53,"D",397,"D","01","D",4500,"D"
"20091",1978805,74,0,"1","01","D","100","D","1","D",.0475,"D",249,"D",351,"D","01","D",21000,"D"
"20091",1979042,31,0,"5","01","D","100","D","1","D",.0475,"D",540,"F",210,"F","01","D",45500,"F"
"20091",1979202,26,0,"5","01","D","100","D","1","D",.0475,"D",238,"D",62,"D","01","D",20000,"D"
"20091",1979352,33,0,"1","01","D","100","D","1","D",.0475,"D",358,"D",2042,"D","01","D",30131,"D"
"20091",1979652,33,0,"5","01","D","100","D","1","D",.0475,"D",33,"D",567,"D","01","D",2800,"D"
"20091",1980012,42,0,"1","01","D","100","D","1","D",.0475,"D",53,"D",604,"D","01","D",4500,"D"
"20091",1980572,43,0,"5","01","D","100","D","1","D",.0475,"D",475,"D",2825,"D","01","D",40000,"D"
"20091",1980602,39,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",56000,"D"
"20091",1980902,36,0,"5","01","D","100","D","2","D",.0475,"D",344,"F",256,"F","01","D",29000,"F"
"20091",1980992,40,0,"5","01","D","100","D","1","D",.0475,"D",2078,"F",-166,"F","01","D",175000,"F"
"20091",1981042,44,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",200000,"D"
"20091",1981572,45,0,"5","01","D","100","D","1","D",.0475,"D",475,"D",29729,"T","01","D",40000,"D"
