"NEWID","CUID","RBTMO","RBTMO_","RBTAMT","RBTAMT_","CHCKEFT","CHCKEFT_","HOWUSED","HOWUSED_","USDINTMO","USDINTYR"
1858905,185890,"05","D",2100,"D","2","D","3","D","06","2008"
1859065,185906,"05","D",600,"D","1","D","2","D","06","2008"
1859115,185911,"05","D",1200,"D","1","D","2","D","06","2008"
1859125,185912,"05","D",600,"D","2","D","2","D","06","2008"
1859215,185921,"05","D",600,"D","2","D","1","D","06","2008"
1859215,185921,"05","D",600,"D","2","D","1","D","06","2008"
1859325,185932,"06","D",1800,"D","2","D","3","D","06","2008"
1859375,185937,"05","D",600,"D","2","D","2","D","06","2008"
1859555,185955,"05","D",300,"D","1","D","3","D","06","2008"
1859845,185984,"05","D",600,"D","1","D","1","D","06","2008"
1859895,185989,"05","D",1200,"D","2","D","2","D","06","2008"
1859945,185994,"05","D",600,"D","2","D","2","D","06","2008"
1859945,185994,"05","D",600,"D","2","D","2","D","06","2008"
1859945,185994,"05","D",300,"D","2","D","2","D","06","2008"
1859995,185999,"06","D",1200,"D","1","D","2","D","06","2008"
1860015,186001,"05","D",1500,"D","2","D","3","D","06","2008"
1860055,186005,"05","D",600,"D","1","D","2","D","06","2008"
1860055,186005,"05","D",600,"D","1","D","2","D","06","2008"
1860395,186039,"05","D",600,"D","2","D","2","D","06","2008"
1860575,186057,"06","D",600,"D","1","D","1","D","08","2008"
1860605,186060,"06","D",600,"D","2","D","1","D","08","2008"
1860635,186063,"08","D",300,"D","2","D","3","D","09","2008"
1860665,186066,"05","D",300,"D","1","D","3","D","08","2008"
1860665,186066,"07","D",300,"D","1","D","3","D","08","2008"
1860684,186068,"05","D",1500,"D","2","D","3","D","09","2008"
1860695,186069,"05","D",600,"D","2","D","1","D","07","2008"
1860695,186069,"05","D",600,"D","2","D","1","D","07","2008"
1860704,186070,"05","D",1800,"D","2","D","3","D","09","2008"
1860725,186072,"05","D",300,"D","1","D","1","D","07","2008"
1860755,186075,"06","D",1200,"D","2","D","3","D","09","2008"
1860785,186078,"06","D",600,"D","1","D","2","D","07","2008"
1860795,186079,"06","D",600,"D","1","D","1","D","07","2008"
1860825,186082,"07","D",1200,"D","1","D","3","D","08","2008"
1860845,186084,"06","D",1500,"D","1","D","3","D","09","2008"
1860874,186087,"05","D",300,"D","2","D","3","D","09","2008"
1860885,186088,"06","D",600,"D","1","D","3","D","08","2008"
1860894,186089,"05","D",900,"D","2","D","3","D","09","2008"
1860935,186093,"06","D",300,"D","1","D","2","D","08","2008"
1860994,186099,"05","D",2100,"D","1","D","1","D","09","2008"
1861015,186101,"07","D",600,"D","1","D","1","D","09","2008"
1861025,186102,"06","D",1200,"D","1","D","1","D","08","2008"
1861065,186106,"07","D",1200,"D","2","D","2","D","09","2008"
1861075,186107,"05","D",2700,"D","1","D",,"C","08","2008"
1861085,186108,"06","D",1200,"D","1","D","2","D","07","2008"
1861095,186109,"05","D",600,"D","2","D",,"C","07","2008"
1861095,186109,"05","D",600,"D","2","D",,"C","07","2008"
1861095,186109,"05","D",600,"D","2","D",,"C","07","2008"
1861125,186112,"06","D",600,"D","1","D","1","D","08","2008"
1861165,186116,"06","D",500,"D","1","D","1","D","07","2008"
1861175,186117,"05","D",2100,"D","2","D","3","D","07","2008"
1861185,186118,"06","D",1200,"D","1","D","1","D","08","2008"
1861195,186119,"07","D",1100,"D","1","D","1","D","07","2008"
1861235,186123,"06","D",1200,"D","2","D","3","D","08","2008"
1861255,186125,"05","D",300,"D","1","D","1","D","08","2008"
1861295,186129,"07","D",600,"D","1","D","2","D","09","2008"
1861345,186134,"06","D",600,"D","2","D","3","D","09","2008"
1861345,186134,"06","D",300,"D","2","D","3","D","09","2008"
1861355,186135,"05","D",300,"D","2","D","3","D","07","2008"
1861365,186136,"05","D",600,"D","2","D","3","D","08","2008"
1861414,186141,"05","D",2100,"D","2","D","3","D","09","2008"
1861535,186153,"05","D",600,"D","2","D","3","D","08","2008"
1861535,186153,"06","D",600,"D","1","D","3","D","08","2008"
1861605,186160,"05","D",600,"D","2","D","2","D","08","2008"
1861625,186162,"06","D",1800,"D","2","D","3","D","08","2008"
1861635,186163,"07","D",600,"D","1","D",,"C","08","2008"
1861675,186167,"07","D",600,"D","1","D","3","D","08","2008"
1861705,186170,"05","D",1500,"D","2","D","1","D","07","2008"
1861715,186171,"06","D",600,"D","1","D","3","D","07","2008"
1861725,186172,"07","D",300,"D","1","D","1","D","08","2008"
1861735,186173,"06","D",1200,"D","1","D","1","D","09","2008"
1861744,186174,"05","D",600,"D","2","D","3","D","09","2008"
1861754,186175,"05","D",1800,"D","2","D",,"A","06","2008"
1861764,186176,"05","D",600,"D","2","D","1","D","09","2008"
1861775,186177,"05","D",1000,"D","1","D","2","D","07","2008"
1861795,186179,"06","D",1200,"D","1","D","3","D","08","2008"
1861805,186180,"05","D",1500,"D","1","D","3","D","08","2008"
1861825,186182,"05","D",300,"D","1","D","3","D","07","2008"
1861845,186184,"05","D",600,"D","2","D","3","D","08","2008"
1861885,186188,"06","D",343,"D","1","D","3","D","08","2008"
1861885,186188,"06","D",304,"D","1","D","3","D","08","2008"
1861945,186194,"06","D",600,"D","1","D","2","D","07","2008"
1861965,186196,"06","D",1200,"D","1","D","3","D","09","2008"
1861975,186197,"06","D",600,"D","1","D","2","D","08","2008"
1861994,186199,"05","D",900,"D","2","D","2","D","09","2008"
1862035,186203,"06","D",1056,"D","1","D","3","D","09","2008"
1862055,186205,"07","D",600,"D","1","D","1","D","08","2008"
1862065,186206,"07","D",600,"D","1","D","1","D","09","2008"
1862125,186212,"05","D",1200,"D","2","D","3","D","07","2008"
1862135,186213,"06","D",1500,"D","1","D","1","D","07","2008"
1862185,186218,"07","D",1800,"D","1","D","1","D","07","2008"
1862205,186220,"06","D",600,"D","1","D","3","D","07","2008"
1862225,186222,"06","D",1200,"D",,"C","3","D","09","2008"
1862265,186226,"05","D",1200,"D","2","D","2","D","08","2008"
1862285,186228,"05","D",1500,"D","1","D","2","D","07","2008"
1862345,186234,"06","D",1200,"D","1","D","3","D","08","2008"
1862365,186236,"05","D",600,"D","2","D","1","D","07","2008"
1862385,186238,"06","D",600,"D","1","D","2","D","09","2008"
1862395,186239,"05","D",300,"D","2","D","1","D","07","2008"
1862404,186240,"05","D",880,"D","2","D","1","D","09","2008"
1862415,186241,"05","D",600,"D","1","D","1","D","08","2008"
1862505,186250,"07","D",900,"D","1","D","1","D","09","2008"
1862515,186251,"06","D",300,"D","1","D","1","D","07","2008"
1862545,186254,"06","D",1200,"D","2","D","1","D","09","2008"
1862554,186255,"05","D",1800,"D","2","D","3","D","09","2008"
1862605,186260,"05","D",1500,"D","1","D","3","D","07","2008"
1862615,186261,"06","D",600,"D","2","D","1","D","09","2008"
1862615,186261,"06","D",600,"D","2","D","1","D","09","2008"
1862645,186264,"06","D",1200,"D","1","D","2","D","09","2008"
1862675,186267,"05","D",600,"D","1","D","3","D","08","2008"
1862685,186268,"06","D",600,"D","1","D","3","D","08","2008"
1862705,186270,"07","D",900,"D","1","D","3","D","07","2008"
1862735,186273,"06","D",600,"D","1","D","1","D","08","2008"
1862794,186279,"05","D",1200,"D","1","D","1","D","09","2008"
1862864,186286,"05","D",1200,"D","1","D","1","D","09","2008"
1862875,186287,"06","D",600,"D","1","D","2","D","08","2008"
1862885,186288,"07","D",600,"D",,"C","2","D","08","2008"
1862905,186290,"05","D",2800,"D","2","D","2","D","07","2008"
1862945,186294,"06","D",600,"D","1","D","3","D","07","2008"
1862954,186295,"05","D",1500,"D","2","D","3","D","09","2008"
1863015,186301,"06","D",300,"D","1","D","1","D","07","2008"
1863055,186305,"06","D",600,"D","2","D","3","D","07","2008"
1863065,186306,"07","D",600,"D","1","D","3","D","08","2008"
1863065,186306,"06","D",200,"D","1","D","3","D","08","2008"
1863085,186308,"05","D",600,"D","2","D","3","D","07","2008"
1863135,186313,"06","D",600,"D","1","D","1","D","07","2008"
1863175,186317,"06","D",1200,"D","2","D","3","D","08","2008"
1863185,186318,"07","D",1200,"D","1","D","2","D","07","2008"
1863235,186323,"05","D",1200,"D","2","D","1","D","07","2008"
1863245,186324,"06","D",300,"D","1","D","1","D","08","2008"
1863255,186325,"06","D",1500,"D","2","D","1","D","08","2008"
1863285,186328,"06","D",1200,"D","1","D","3","D","08","2008"
1863295,186329,"05","D",1500,"D","2","D","2","D","08","2008"
1863315,186331,"08","D",600,"D","1","D","3","D","09","2008"
1863344,186334,"05","D",1200,"D","1","D",,"A","06","2008"
1863365,186336,"05","D",366,"D","2","D","2","D","08","2008"
1863395,186339,"04","D",1800,"D","2","D","3","D","07","2008"
1863405,186340,"07","D",600,"D","2","D","3","D","08","2008"
1863405,186340,"07","D",600,"D","2","D","3","D","08","2008"
1863415,186341,"04","D",1500,"D","1","D","1","D","07","2008"
1863435,186343,"05","D",300,"D","1","D","3","D","08","2008"
1863455,186345,"07","D",600,"D","2","D","3","D","09","2008"
1863464,186346,"05","D",600,"D","2","D",,"A","06","2008"
1863475,186347,"05","D",2353,"D","2","D","2","D","08","2008"
1863495,186349,"06","D",1800,"D","1","D","2","D","09","2008"
