NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
04544674,1,36,0,2021,2020,3,.15300,.15300,2,.22000,.22000,19,D,.04680,.04680,62657,D,76836,D,0,D,0,D,0,D,0,D,0,D,2500,D,310,D,0,D,3,D,3,D,3,D,2548,D,5958,4807,4083,7834,5017,4598,21342,21342,140268,140268,140268,136847,6000,9000,0,9000,0,0,0,0,140268,140268,0,0,16983,16834,16983,16834,0,0,0,0,0,0,0,0,0,0,0
04544724,1,0,0,2021,2020,0,.15300,.15300,1,.12000,.12000,34,D,.05250,.05250,27881,D,0,D,0,D,0,D,0,D,0,D,8400,D,0,D,130,D,0,D,0,D,0,D,0,D,2400,D,390,735,-500,1281,742,728,4266,4266,24881,24881,24881,24274,0,0,0,0,0,0,0,0,24881,24881,0,0,1300,1281,1300,1281,10750,10750,2400,2341,0,0,0,0,0,0,0
04544734,1,0,0,2021,2020,1,.15300,.15300,1,.07650,.07650,10,D,.00000,.00000,14653,D,0,D,0,D,0,D,0,D,0,D,0,D,850,D,22,D,0,D,0,D,0,D,0,D,2844,D,-1245,0,-1889,-601,0,0,2242,2242,14653,14653,0,0,0,500,0,500,0,0,89,101,14653,14653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04544774,1,39,0,2021,2020,2,.03800,.03800,2,.40000,.40000,26,D,.05710,.05710,274007,D,200000,D,0,D,0,D,0,D,0,D,0,D,19009,D,221712,D,320,D,2,D,2,D,2,D,29588,D,95262,22733,96513,94012,22750,22716,49912,50953,462107,462107,462107,450836,895,2895,0,2895,64,64,0,0,432519,432519,0,0,97472,96970,97472,96970,0,0,33975,33596,0,0,0,0,0,0,0
04544804,1,0,0,2021,2020,0,.15300,.15300,1,.24000,.24000,50,D,.06270,.06270,0,D,0,D,0,D,120988,D,26936,D,0,D,0,D,5800,D,4079,D,0,D,0,D,0,D,0,D,1956,D,27884,7213,27931,27837,7224,7202,0,0,153450,153450,130554,127370,0,0,0,0,0,0,0,0,153450,153450,0,0,27931,27837,27931,27837,0,0,1956,1908,0,0,0,0,0,0,0
04544814,1,63,0,2021,2020,0,.15300,.15300,2,.22000,.22000,14,D,.04950,.04950,70301,D,38340,D,0,D,0,D,0,D,0,D,0,D,7700,D,0,D,0,D,0,D,0,D,0,D,0,D,8151,4763,6425,9876,4763,4763,16622,16622,108641,108641,108641,105991,0,0,0,0,0,0,0,0,108641,108641,0,0,10025,9876,10025,9876,0,0,0,0,385,376,0,0,0,0,0
04544814,2,0,0,2021,2020,0,.15300,.15300,1,.12000,.12000,14,D,.04950,.04950,35000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1605,1617,715,2495,1617,1617,5355,5355,35000,35000,35000,34146,0,0,0,0,0,0,0,0,35000,35000,0,0,2515,2495,2515,2495,0,0,0,0,0,0,0,0,0,0,0
04544814,3,0,0,2021,2020,0,.15300,.15300,1,.12000,.12000,14,D,.04950,.04950,30616,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1079,1400,188,1969,1400,1400,4684,4684,30616,30616,30616,29869,0,0,0,0,0,0,0,0,30616,30616,0,0,1988,1969,1988,1969,0,0,0,0,0,0,0,0,0,0,0
04544814,4,0,0,2021,2020,0,.15300,.15300,1,.12000,.12000,14,D,.04950,.04950,41583,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2395,1943,1504,3285,1943,1943,6362,6362,41583,41583,41583,40569,0,0,0,0,0,0,0,0,41583,41583,0,0,3304,3285,3304,3285,0,0,0,0,0,0,0,0,0,0,0
04544854,1,0,0,2021,2020,2,.15300,.15300,1,-.0765,-.0765,36,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,300,D,0,D,0,D,0,D,0,D,0,D,0,D,-1400,0,-1800,-1000,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04544894,1,0,0,2021,2020,0,.15300,.15300,1,.11310,.11310,47,D,.05750,.05750,55491,D,0,D,0,D,0,D,0,D,0,D,0,D,7700,D,0,D,0,D,0,D,0,D,0,D,12976,D,2877,1687,1977,3777,1691,1683,8490,8490,55491,55491,55491,54138,0,0,0,0,0,0,0,0,42515,42515,0,0,3777,3777,3777,3777,4500,4500,20676,20172,0,0,0,0,0,0,0
04544914,1,0,0,2021,2020,2,.15300,.15300,1,-.0765,-.0765,0,T,.00000,.00000,0,D,0,D,0,D,2000,D,0,D,0,D,0,D,3100,D,0,D,0,D,0,D,0,D,0,D,5000,D,-1400,0,-1800,-1000,0,0,0,0,2000,2000,0,0,0,1000,0,1000,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04544924,1,44,0,2021,2020,1,.15300,.15300,2,.22000,.22000,0,T,.00000,.00000,55621,D,59413,D,0,D,0,D,0,D,0,D,0,D,3500,D,649,D,0,D,1,D,1,D,1,D,900,D,6507,0,4731,8282,0,0,17600,17600,115034,115034,0,0,2000,3000,0,3000,0,0,0,0,115034,115034,0,0,11431,11282,11431,11282,0,0,0,0,0,0,0,0,0,0,0
04544954,1,75,0,2021,2020,0,.15300,.15300,2,.22200,.22200,0,T,.00000,.00000,42966,D,0,D,0,D,0,D,40570,D,0,D,0,D,2000,D,3719,D,0,D,0,D,0,D,0,D,3200,D,3158,0,1377,4938,0,0,6574,6574,70868,70868,0,0,0,0,0,0,0,0,0,0,70868,70868,0,0,4977,4938,4977,4938,0,0,0,0,0,0,0,0,0,0,0
04544994,1,0,0,2021,2020,1,.15300,.15300,1,.27980,.27980,48,D,.00000,.00000,36000,D,0,D,0,D,0,D,0,D,0,D,15600,D,0,D,0,D,0,D,1,D,1,D,1,D,0,D,-3112,0,-4020,-2205,0,0,5508,5508,36000,36000,0,0,1800,3000,200,3000,0,0,920,985,36000,36000,0,0,1800,1780,1800,1780,0,0,0,0,0,0,0,0,0,0,0
04544994,2,0,0,2021,2020,0,.15300,.15300,1,-.0765,-.0765,48,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,-900,0,-1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04545024,1,0,0,2021,2020,0,.15300,.15300,1,-.0765,-.0765,01,D,.00000,.00000,0,D,0,D,0,D,0,D,336,D,0,D,1500,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,-900,0,-1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,0,0,0,0,0,0,0,0,0
04545034,1,0,34,2021,2020,3,.15300,.15300,2,.12000,.12000,12,D,.06720,.06720,56540,D,0,D,0,D,0,D,0,D,0,D,0,D,3600,D,0,D,0,D,1,D,1,D,1,D,0,D,-2456,2460,-4286,-625,2474,2446,8651,8651,56540,56540,56540,55161,3000,4000,0,4000,0,0,0,0,56540,56540,0,0,3414,3375,3414,3375,4400,4400,6064,5891,0,0,0,0,0,0,0
04545064,1,0,0,2021,2020,2,.15300,.15300,1,-.0765,-.0765,10,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2400,D,0,D,0,D,0,D,0,D,0,D,1922,D,-1400,0,-1800,-1000,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04545094,1,0,51,2021,2020,0,.15300,.15300,2,.12000,.12000,05,D,.04000,.04000,64452,D,15686,D,0,D,0,D,0,D,0,D,0,D,6500,D,470,D,0,D,0,D,0,D,0,D,14776,D,4426,1046,2646,6207,1062,1030,12261,12261,80138,80138,80138,78183,0,0,0,0,0,0,0,0,80138,80138,0,0,6246,6207,6246,6207,9202,9202,21746,21216,0,0,0,0,0,0,0
04545094,2,0,0,2021,2020,0,.15300,.15300,1,.12000,.12000,05,D,.04780,.04780,26925,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,636,219,-255,1526,232,206,4120,4120,26925,26925,26925,26268,0,0,0,0,0,0,0,0,26925,26925,0,0,1546,1526,1546,1526,4601,4601,0,0,0,0,0,0,24,29,0
