"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP","BSNEXP2","BSNEXP2_"
"20121",2378245,25,0,"5","01","D","100","D",.,"A","3","D","05","D","2000","D",.,"A",.,"A",.,"A",800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20121",2378245,26,0,"5","02","D","400","D",.,"A","3","D","05","D","2009","D",.,"A",.,"A",.,"A",850,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378245,27,0,"5","03","D","500","D",.,"A","3","D","05","D","2009","D",.,"A",.,"A",.,"A",0,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378255,38,0,"5","01","D","100","D",.,"A","3","D","04","D","1999","D",.,"A",.,"A",.,"A",1850,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378265,37,0,"5","01","D","100","D",.,"A","3","D","10","D","1988","D",.,"A",.,"A",.,"A",1100,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378285,120,0,"5","01","D","100","D",.,"A","3","D","07","D","1991","D",.,"A",.,"A",.,"A",3500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378285,121,0,"5","02","D","300","D",.,"A","3","D",,"C","1999","D",.,"A",.,"A",.,"A",0,"D","1","D",2,"D","2","D",.,"A",,"A",.,"A",,"A",,"A"
"20121",2378285,122,0,"5","03","D","300","D",.,"A","3","D",,"C","2000","D",.,"A",.,"A",.,"A",0,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378305,47,0,"5","01","D","100","D",.,"A","3","D","07","D","2005","D",.,"A",.,"A",.,"A",3900,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378415,26,0,"1","01","D","100","D",.,"A","3","D","03","D","1990","D",.,"A",.,"A",.,"A",1350,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20121",2378485,34,0,"5","01","D","100","D",.,"A","3","D","03","D","1964","D",.,"A",.,"A",.,"A",750,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378515,32,0,"5","01","D","100","D",.,"A","3","D","10","D","2006","D",.,"A",.,"A",.,"A",1785,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378575,37,0,"5","01","D","100","D",.,"A","3","D","10","D","1987","D",.,"A",.,"A",.,"A",790,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378585,35,0,"5","01","D","100","D",.,"A","3","D","12","D","1984","D",.,"A",.,"A",.,"A",700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378585,36,0,"5","02","D","400","D",.,"A","3","D","02","D","1984","D",.,"A",.,"A",.,"A",70,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378605,26,0,"5","01","D","100","D",.,"A","3","D","05","D","1971","D",.,"A",.,"A",.,"A",1900,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20121",2378635,39,0,"5","01","D","100","D",.,"A","3","D",,"C","1992","D",.,"A",.,"A",.,"A",3400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378635,40,0,"5","02","D","300","D",.,"A","3","D",,"C","2004","D",.,"A",.,"A",.,"A",500,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378645,39,0,"5","01","D","100","D",.,"A","3","D","05","D","1999","D",.,"A",.,"A",.,"A",4000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378665,32,0,"5","01","D","100","D",.,"A","3","D","04","D","2009","D",.,"A",.,"A",.,"A",2000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378745,59,0,"5","01","D","100","D",.,"A","3","D","04","D","2008","D",.,"A",.,"A",.,"A",2700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378765,40,0,"5","01","D","100","D",.,"A","3","D","07","D","1988","D",.,"A",.,"A",.,"A",800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378795,40,0,"5","01","D","100","D",.,"A","3","D","02","D","2011","D",10000,"D",2000,"D",0,"D",730,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D","2","D"
"20121",2378825,46,0,"5","01","D","100","D",.,"A","3","D","05","D","1995","D",.,"A",.,"A",.,"A",1995,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378835,28,0,"5","01","D","100","D",.,"A","1","D","10","D","1996","D",.,"A",.,"A",.,"A",3000,"D",,"A",.,"A",,"A",.,"A","1","D",0,"D",,"A",,"A"
"20121",2378845,78,0,"5","01","D","100","D",.,"A","3","D","01","D","2001","D",.,"A",.,"A",.,"A",2055,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378855,30,0,"5","01","D","100","D",.,"A","3","D","03","D","2009","D",.,"A",.,"A",.,"A",2600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378885,30,0,"5","01","D","100","D",.,"A","3","D",,"C","2006","D",.,"A",.,"A",.,"A",4000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20121",2378895,41,0,"5","01","D","100","D",.,"A","3","D","09","D","1985","D",.,"A",.,"A",.,"A",6000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
