"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMYUPD","NUMYUPD_","TOTYUPDX","TOTY_PDX","TOTYUPDY","TOTY_PDY"
"20121",2403325,63,3,"1",.,"A",13,"E","190","D"
"20121",2405385,38,0,"1",2,"D",.,"H",,"A"
"20121",2405385,38,1,"1",.,"A",39,"E","100","D"
"20121",2405385,38,2,"1",.,"A",33,"E","110","D"
"20121",2407735,50,0,"1",1,"D",.,"H",,"A"
"20121",2407735,50,1,"1",.,"A",150,"E","130","D"
"20121",2408205,43,0,"1",1,"D",.,"H",,"A"
"20121",2408205,43,1,"1",.,"A",8,"E","100","D"
"20121",2408205,43,2,"1",.,"A",2,"E","110","D"
"20121",2408205,43,3,"1",.,"A",9,"E","120","D"
"20121",2408205,43,4,"1",.,"A",2,"E","140","D"
"20121",2408205,43,5,"1",.,"A",36,"E","150","D"
"20121",2408205,43,6,"1",.,"A",1,"E","160","D"
"20121",2408205,43,7,"1",.,"A",22,"E","190","D"
"20121",2408645,44,0,"1",4,"D",.,"H",,"A"
"20121",2408645,44,1,"1",.,"A",25,"E","100","D"
"20121",2408645,44,2,"1",.,"A",5,"E","110","D"
"20121",2409915,27,0,"1",2,"D",.,"H",,"A"
"20121",2409915,27,1,"1",.,"A",53,"E","100","D"
"20121",2409915,27,2,"1",.,"A",27,"E","110","D"
"20121",2412164,55,0,"1",1,"D",.,"H",,"A"
"20121",2412164,55,1,"1",.,"A",28,"E","120","D"
"20121",2412164,55,2,"1",.,"A",4,"E","140","D"
"20121",2412164,55,3,"1",.,"A",146,"E","150","D"
"20121",2412164,55,4,"1",.,"A",22,"E","190","D"
"20121",2412264,49,0,"1",1,"D",.,"H",,"A"
"20121",2412264,49,1,"1",.,"A",5,"E","120","D"
"20121",2412264,49,2,"1",.,"A",92,"E","150","D"
"20121",2412264,49,3,"1",.,"A",56,"E","160","D"
"20121",2412264,49,4,"1",.,"A",2,"E","170","D"
"20121",2412264,49,5,"1",.,"A",12,"E","190","D"
"20121",2412264,49,6,"1",.,"A",4,"E","200","D"
"20121",2412264,49,7,"1",.,"A",29,"E","210","D"
"20121",2413794,28,0,"1",1,"D",.,"H",,"A"
"20121",2413794,28,1,"1",.,"A",34,"E","100","D"
"20121",2413794,28,2,"1",.,"A",16,"E","110","D"
"20121",2415304,53,0,"1",2,"D",.,"H",,"A"
"20121",2415304,53,1,"1",.,"A",71,"E","200","D"
"20121",2415304,53,2,"1",.,"A",43,"E","210","D"
"20121",2415304,53,3,"1",.,"A",86,"E","220","D"
