"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","INSTALLX","INST_LLX","MEDICALX","MEDI_ALX","PDOTHERX","PDOT_ERX","GASCARDX","GASC_RDX","STRCARDX","STRC_RDX","MAJCARDX","MAJC_RDX","FININSTX","FINI_STX"
"20121",2379235,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2379245,22,0,"1",.,"A",.,"A",1000,"F",.,"A",2,"F",1000,"F",.,"A"
"20121",2379255,30,0,"1",.,"A",.,"A",.,"A",.,"A",200,"D",700,"D",.,"A"
"20121",2379265,28,0,"1",.,"A",.,"A",.,"A",.,"A",10,"D",100,"D",.,"A"
"20121",2379285,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2379295,22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2379315,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2379375,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2379385,23,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2379405,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2379425,22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",40,"F",.,"A"
"20121",2379435,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",100,"F",.,"A"
"20121",2379465,26,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",34,"D",.,"A"
"20121",2379485,27,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2379505,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",120,"F",.,"A"
"20121",2379515,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2379545,29,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2379565,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2379605,14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2379625,21,0,"1",.,"A",.,"A",106,"D",.,"A",.,"A",682,"D",.,"A"
"20121",2379635,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2379665,23,0,"1",.,"A",.,"A",.,"A",.,"A",180,"F",880,"F",.,"A"
"20121",2379675,14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2379715,22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2379735,32,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
