"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOF","PROP0NOF","OWNYF","OWNYF_","NEWMRRT","NEWMRRT_","ORGMRTX","ORGMRTX_","QMRTTERM","QMRT_ERM","MRTPMTX","MRTPMTX_","PAYPROTX","PAYP_OTX","PAYPROIN","PAYP_OIN","PAYMORIN","PAYM_RIN","PAYOTHER","PAYO_HER","QESCROWX","QESC_OWX","QPRINM1X","QPRI_M1X","QPRINM2X","QPRI_M2X","QPRINM3X","QPRI_M3X","QADINT1X","QADI_T1X","QADINT2X","QADI_T2X","QADINT3X","QADI_T3X","QRFINDAT","QRFI_DAT","FRSTPYMO","FRST_YMO","FRSTPYYR","FRST_YYR","FIXEDRTE","FIXE_RTE","QNEWDATE","QNEW_ATE","QBLNCM1X","QBLN_M1X","QBLNCM2X","QBLN_M2X","QBLNCM3X","QBLN_M3X","LOAN_NOF","LOAN0NOF","VARRTE","VARRTE_","INTONLY","INTONLY_","OTHRTE","OTHRTE_","PAYMT1X","PAYMT1X_","PAYMT2X","PAYMT2X_","PAYMT3X","PAYMT3X_","PAYPRINI","PAYP_INI","PAYINT","PAYINT_"
"20123",2541843,23,0,"5","01","D","100","D",0.065,"D",108000,"D",30,"D",1453,"D",,"B",,"B",,"B",,"B",770,"D",0,"D",0,"D",0,"D",683,"D",683,"D",683,"D",,"A","02","D","2001","D","1","D",,"A",108000,"D",108000,"D",108000,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"A","2","D"
"20123",2541853,50,0,"5","01","D","100","D",0.0575,"D",155000,"D",30,"D",1200,"D",,"B",,"B",,"B",,"B",295,"D",451,"D",454,"D",456,"D",454,"D",451,"D",449,"D",,"A","08","D","1994","D","1","D",,"A",94663,"D",94212,"D",93759,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20123",2542163,50,0,"5","01","D","100","D",0.04,"D",150000,"D",15,"D",2000,"D","3","D",,"A",,"A",,"A",890,"D",925,"D",928,"D",931,"D",185,"D",182,"D",179,"D",,"A","01","D","2002","D","1","D",,"A",55600,"D",54675,"D",53748,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20123",2542173,23,0,"5","01","D","100","D",0.0784,"D",138,"D",30,"D",1,"D","3","D","4","D",,"A",,"A",0,"D",0,"D",0,"D",0,"D",1,"D",1,"D",1,"D",,"A","12","D","2007","D","1","D",,"A",132,"D",132,"D",131,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20123",2542223,68,0,"5","01","D","100","D",0.0784,"D",151000,"D",30,"D",1186,"D",,"B",,"B",,"B",,"B",95,"D",121,"D",121,"D",122,"D",970,"D",970,"D",969,"D",,"A","08","D","2010","D","1","D",,"A",148537,"D",148416,"D",148295,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20123",2542293,55,0,"5","01","D","100","D",0.045,"D",243000,"D",30,"D",1817,"D","3","D","4","D",,"A",,"A",586,"D",365,"D",366,"D",367,"D",866,"D",865,"D",864,"D",,"A","07","D","2009","D","1","D",,"A",231065,"D",230700,"D",230335,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20123",2542293,56,0,"5","02","D","300","D",0.105,"D",28000,"D",10,"D",400,"D",,"B",,"B",,"B",,"B",22,"D",164,"D",165,"D",167,"D",214,"D",213,"D",211,"D",,"A","06","D","2010","D","1","D",,"A",24465,"D",24301,"D",24136,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20123",2542333,35,0,"5","01","D","100","D",0.0784,"D",120000,"D",30,"D",867,"D",,"A",,"A",,"A",,"A",0,"D",126,"D",127,"D",128,"D",386,"D",385,"D",384,"D",,"A","05","D","2000","D","2","D",,"A",100002,"D",99789,"D",99573,"D","01","D","1","D",,"A",,"A",512,"D",512,"D",512,"D","1","D","2","D"
"20123",2542373,36,0,"5","01","D","100","D",0.045,"D",169000,"D",30,"D",1026,"D","3","D","4","D",,"A",,"A",170,"D",290,"D",291,"D",292,"D",566,"D",565,"D",564,"D",,"A","07","D","2006","D","1","D",,"A",150959,"D",150669,"D",150378,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20123",2542403,48,0,"5","01","D","100","D",0.0625,"F",78400,"F",30,"F",719,"F","3","F",,"A",,"A",,"A",236,"F",177,"F",178,"F",179,"F",306,"F",305,"F",304,"F",,"A","07","F","1998","F","1","F",,"A",58778,"F",58602,"F",58424,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
