"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QPSF3MCX","QPSF_MCX","QSSF3MCX","QSSF_MCX","QEAD3MCX","QEAD_MCX","QREC3MCX","QREC_MCX","QFLM3MCX","QFLM_MCX","QFLP3MCX","QFLP_MCX","QPVD3MCX","QPVD_MCX","QRVD3MCX","QRVD_MCX","QENT3MCX","QENT_MCX","QBR3MCX","QBR3MCX_","QNMG3MCX","QNMG_MCX","QAFL3MCX","QAFL_MCX","QVFL3MCX","QVFL_MCX","QAGR3MCX","QAGR_MCX","QONL3MCX","QONL_MCX"
"20121",2464044,21,0,"1",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",70,"D",30,"D",.,"A",.,"A",15,"D",60,"D",.,"A",.,"A",.,"A"
"20121",2464083,23,0,"1",.,"A",30,"D",150,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",8,"D",.,"A",.,"A"
"20121",2464093,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",10,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2464153,20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",14,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2464173,16,0,"1",.,"A",.,"A",.,"A",10,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A"
"20121",2464193,17,0,"1",.,"A",20,"D",12,"D",.,"A",.,"A",20,"D",.,"A",.,"A",.,"A",20,"D",2,"D",.,"A",.,"A",.,"A",.,"A"
"20121",2464203,25,0,"1",.,"A",.,"A",.,"A",32,"D",.,"A",22,"D",45,"D",0,"D",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A"
"20121",2464233,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",8,"D",.,"A",.,"A",.,"A",.,"A"
"20121",2464253,22,0,"1",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A",16,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2464263,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",15,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2464363,27,0,"1",.,"A",.,"A",22,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",.,"A",.,"A",.,"A",.,"A"
"20121",2464403,18,0,"1",.,"A",.,"A",.,"A",50,"D",.,"A",.,"A",20,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2464493,31,0,"1",.,"A",.,"A",60,"D",.,"A",.,"A",.,"A",35,"D",2,"D",140,"D",25,"D",10,"D",.,"A",27,"D",3,"D",.,"A"
"20121",2464523,50,0,"1",.,"A",24,"D",75,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",50,"D",30,"D",0,"D",.,"A",.,"A",.,"A"
"20121",2464543,15,0,"1",.,"A",.,"A",45,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A"
"20121",2464563,31,0,"1",35,"D",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",36,"D",.,"A",170,"D",.,"A",20,"D",.,"A",.,"A",.,"A"
"20121",2464593,13,0,"1",.,"A",540,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D",24,"D",.,"A",.,"A"
"20121",2464633,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",90,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2464643,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",35,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2464693,23,0,"1",.,"A",600,"D",120,"D",.,"A",.,"A",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2464703,29,0,"1",.,"A",.,"A",44,"D",.,"A",.,"A",80,"D",.,"A",.,"A",15,"D",52,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2464713,16,0,"1",.,"A",.,"A",50,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2464723,21,0,"1",.,"A",.,"A",60,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2464753,20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",100,"D",.,"A",.,"A",.,"A",50,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2464853,38,0,"1",110,"D",.,"A",.,"A",.,"A",.,"A",200,"D",60,"D",30,"D",.,"A",70,"D",.,"A",50,"D",30,"D",.,"A",.,"A"
"20121",2464863,16,0,"1",.,"A",.,"A",20,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2464893,20,0,"1",0,"D",20,"D",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2464933,15,0,"1",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465013,21,0,"1",.,"A",.,"A",85,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2465063,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",56,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
