"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","QSUB3MCX","QSUB_MCX"
"20111",2243464,73,0,"1","150","D","1","D",26,"D"
"20111",2243464,74,0,"1","840","D","1","D",50,"D"
"20111",2243475,46,0,"1","150","D","1","D",38,"D"
"20111",2243494,40,0,"1","810","D","1","D",35,"D"
"20111",2243634,26,0,"1","150","D","1","D",45,"D"
"20111",2243644,90,0,"1","150","D","1","D",36,"D"
"20111",2243725,95,0,"1","150","D","1","D",19,"D"
"20111",2243725,96,0,"1","150","D","1","D",38,"D"
"20111",2243725,97,0,"1","830","D","1","D",123,"D"
"20111",2243725,98,0,"1","830","D","1","D",103,"D"
"20111",2243725,99,0,"1","830","D","1","D",116,"D"
"20111",2243725,100,0,"1","830","D","1","D",116,"D"
"20111",2243775,40,0,"1","830","D","1","D",44,"D"
"20111",2243795,53,0,"1","150","D","1","D",22,"D"
"20111",2243805,45,0,"1","830","D","1","D",90,"D"
"20111",2243824,48,0,"1","830","D","1","D",78,"D"
"20111",2243875,60,0,"1","830","D","1","D",50,"D"
"20111",2243954,41,0,"1","150","D","1","D",52,"D"
"20111",2243954,42,0,"1","150","D","1","D",20,"D"
"20111",2244015,50,0,"1","830","D","1","D",180,"D"
"20111",2244025,41,0,"1","150","D","1","D",0,"D"
"20111",2244304,60,0,"1","150","D","1","D",60,"D"
"20111",2244304,61,0,"1","200","D","1","D",150,"D"
"20111",2244304,62,0,"1","840","D","1","D",50,"D"
"20111",2244384,35,0,"1","840","D","1","D",100,"D"
"20111",2244425,97,0,"1","910","D","2","D",160,"D"
"20111",2244535,32,0,"1","150","D","1","D",45,"D"
"20111",2244585,67,0,"1","150","D","1","D",24,"D"
"20111",2244605,61,0,"1","150","D","1","D",21,"D"
"20111",2244605,62,0,"1","840","D","1","D",45,"D"
"20111",2244684,46,0,"1","150","D","1","D",25,"D"
"20111",2244755,39,0,"1","830","D","1","D",600,"D"
"20111",2244794,69,0,"1","150","D","1","D",68,"D"
"20111",2244794,70,0,"1","840","D","1","D",0,"D"
"20111",2245004,71,0,"1","150","D","1","D",51,"D"
"20111",2245004,72,0,"1","150","D","1","D",28,"D"
"20111",2245004,73,0,"1","830","D","1","D",216,"D"
"20111",2245104,50,0,"1","150","D","1","D",32,"D"
"20111",2245324,32,0,"1","830","D","1","D",50,"D"
"20111",2245344,37,0,"1","830","D","1","D",60,"D"
"20111",2245515,40,0,"1","150","D","1","D",48,"D"
"20111",2245585,37,0,"1","150","D","1","D",120,"D"
"20111",2245644,59,0,"1","150","D","1","D",33,"D"
"20111",2245715,50,0,"1","150","D","1","D",25,"D"
"20111",2245745,25,0,"1","830","D","1","D",20,"D"
"20111",2245875,30,0,"1","150","D","1","D",30,"D"
"20111",2245885,75,0,"1","150","D","1","D",17,"D"
"20111",2245885,76,0,"1","150","D","2","D",17,"D"
"20111",2245885,77,0,"1","830","D","1","D",105,"D"
"20111",2245885,78,0,"1","840","D","1","D",40,"D"
"20111",2245944,46,0,"1","840","D","1","D",40,"D"
"20111",2246174,36,0,"1","840","D","1","D",5,"D"
"20111",2246245,64,0,"1","150","D","1","D",46,"D"
"20111",2246245,65,0,"1","150","D","1","D",41,"D"
"20111",2246245,66,0,"1","600","D","1","D",0,"D"
"20111",2246245,67,0,"1","830","D","1","D",212,"D"
"20111",2246405,51,0,"1","830","D","1","D",75,"D"
"20111",2246454,52,0,"1","150","D","1","D",26,"D"
"20111",2246485,44,0,"1","200","D","1","D",0,"D"
"20111",2246615,64,0,"1","150","D","1","D",58,"D"
"20111",2246615,65,0,"1","150","D","1","D",30,"D"
"20111",2246624,65,0,"1","150","D","1","D",30,"D"
"20111",2246624,66,0,"1","150","D","1","D",60,"D"
"20111",2246624,67,0,"1","830","D","1","D",315,"D"
"20111",2246624,68,0,"1","830","D","1","D",35,"D"
"20111",2246725,22,0,"1","150","D","1","D",175,"D"
"20111",2246835,50,0,"1","150","D","1","D",0,"D"
"20111",2246894,23,0,"1","150","D","1","D",21,"D"
"20111",2247004,44,0,"1","830","D","1","D",160,"D"
"20111",2247124,49,0,"1","150","D","1","D",57,"D"
"20111",2247124,50,0,"1","820","D","1","D",50,"D"
"20111",2247175,39,0,"1","150","D","1","D",75,"D"
"20111",2247175,40,0,"1","150","D","1","D",10,"D"
"20111",2247274,40,0,"1","150","D","1","D",49,"D"
"20111",2247324,37,0,"1","700","D","1","D",200,"D"
"20111",2247424,57,0,"1","810","D","1","D",25,"D"
"20111",2247424,58,0,"1","810","D","1","D",50,"D"
"20111",2247444,57,0,"1","840","D","1","D",60,"D"
"20111",2247475,41,0,"1","150","D","1","D",26,"D"
"20111",2247615,52,0,"1","150","D","1","D",156,"D"
"20111",2247615,53,0,"1","150","D","1","D",50,"D"
"20111",2247634,33,0,"1","830","D","1","D",63,"D"
"20111",2247744,52,0,"1","840","D","1","D",50,"D"
"20111",2247794,58,0,"1","830","D","1","D",438,"D"
"20111",2247815,43,0,"1","150","D","1","D",0,"D"
"20111",2247855,62,0,"1","150","D","1","D",0,"D"
"20111",2247855,63,0,"1","150","D","1","D",26,"D"
"20111",2247855,64,0,"1","840","D","1","D",100,"D"
"20111",2248025,47,0,"1","830","D","1","D",204,"D"
"20111",2248155,68,0,"1","150","D","1","D",30,"D"
"20111",2248155,69,0,"1","830","D","1","D",500,"D"
"20111",2248224,36,0,"1","150","D","1","D",12,"D"
"20111",2248335,22,0,"1","830","D","1","D",129,"D"
"20111",2248435,40,0,"1","830","D","1","D",150,"D"
"20111",2248534,58,0,"1","800","D","1","D",180,"D"
"20111",2248585,25,0,"1","150","D","1","D",25,"D"
"20111",2248645,58,0,"1","150","D","1","D",43,"D"
"20111",2248645,59,0,"1","150","D","1","D",88,"D"
"20111",2248715,74,0,"1","150","D","1","D",15,"D"
"20111",2248715,75,0,"1","830","D","1","D",90,"D"
"20111",2248725,32,0,"1","150","D","1","D",34,"D"
"20111",2248735,28,0,"1","150","D","1","D",60,"D"
"20111",2248735,29,0,"1","840","D","1","D",0,"D"
"20111",2248914,41,0,"1","830","D","1","D",105,"D"
"20111",2248975,57,0,"1","150","D","1","D",54,"D"
"20111",2248994,36,0,"1","150","D","1","D",15,"D"
"20111",2249054,36,0,"1","150","D","1","D",46,"D"
"20111",2249054,37,0,"1","150","D","1","D",12,"D"
"20111",2249155,40,0,"1","830","D","1","D",1200,"D"
"20111",2249265,44,0,"1","150","D","1","D",60,"D"
"20111",2249325,59,0,"1","150","D","1","D",18,"D"
"20111",2249325,60,0,"1","830","D","1","D",173,"D"
"20111",2249395,37,0,"1","150","D","1","D",27,"D"
"20111",2249474,22,0,"1","830","D","1","D",66,"D"
"20111",2249534,43,0,"1","600","D","1","D",800,"D"
"20111",2249675,50,0,"1","150","D","2","D",29,"D"
"20111",2249675,51,0,"1","150","D","2","D",29,"D"
"20111",2249675,52,0,"1","150","D","1","D",61,"D"
"20111",2249684,54,0,"1","830","D","1","D",90,"D"
"20111",2249684,55,0,"1","830","D","1","D",200,"D"
"20111",2249795,58,0,"1","820","D","1","D",60,"D"
"20111",2249814,78,0,"1","840","D","1","D",45,"D"
"20111",2249945,57,0,"1","910","D","1","D",72,"D"
"20111",2250045,54,0,"1","150","D","1","D",305,"D"
"20111",2250045,55,0,"1","830","D","1","D",40,"D"
"20111",2250045,56,0,"1","910","D","1","D",187,"D"
"20111",2250165,72,0,"1","840","D","1","D",30,"D"
"20111",2250335,39,0,"1","200","D","1","D",100,"D"
"20111",2250335,40,0,"1","840","D","1","D",150,"D"
"20111",2250344,53,0,"1","150","D","1","D",75,"D"
"20111",2250375,43,0,"1","150","D","1","D",20,"D"
"20111",2250434,39,0,"1","150","D","1","D",52,"D"
"20111",2250544,33,0,"1","150","D","1","D",54,"D"
"20111",2250565,49,0,"1","150","D","1","D",16,"D"
"20111",2250565,50,0,"1","150","D","1","D",0,"D"
"20111",2250565,51,0,"1","500","D","2","D",100,"D"
"20111",2250844,40,0,"1","150","D","1","D",100,"D"
"20111",2250844,41,0,"1","830","D","1","D",0,"D"
"20111",2250915,59,0,"1","840","D","1","D",20,"D"
"20111",2250925,50,0,"1","150","D","1","D",65,"D"
"20111",2250925,51,0,"1","150","D","2","D",23,"D"
"20111",2250925,52,0,"1","150","D","2","D",109,"D"
"20111",2250925,53,0,"1","830","D","1","D",270,"D"
"20111",2250995,47,0,"1","150","D","1","D",0,"D"
"20111",2251025,56,0,"1","840","D","1","D",10,"D"
"20111",2251044,56,0,"1","830","D","1","D",45,"D"
"20111",2251115,77,0,"1","150","D","1","D",60,"D"
"20111",2251115,78,0,"1","600","D","1","D",318,"D"
"20111",2251115,79,0,"1","830","D","1","D",30,"D"
"20111",2251155,31,0,"1","150","D","1","D",60,"D"
"20111",2251255,30,0,"1","150","D","1","D",50,"D"
