"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP"
"20103",2299373,51,0,"5","01","D","100","D",.,"A","3","D","02","D","1979","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299423,30,0,"5","01","D","100","D",.,"A","3","D",,"C","1990","D",.,"A",.,"A",.,"A",600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299432,32,0,"5","01","D","100","D",.,"A","3","D","05","D","2010","D",213500,"D",110000,"D",5000,"D",3600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D"
"20103",2299463,35,0,"5","01","D","100","D",.,"A","3","D","04","D","1991","D",.,"A",.,"A",.,"A",4700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299542,41,0,"1","01","D","100","D",.,"A","3","D","07","D","2010","D",318500,"D",0,"D",0,"D",3200,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D"
"20103",2299542,42,0,"1","02","D","200","D",.,"A","1","D",,"C",,"C",.,"A",.,"A",.,"A",2000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299562,32,0,"5","01","D","100","D",.,"A","3","D","08","D","1995","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299572,61,0,"5","01","D","100","D",.,"A","3","D","03","D","2001","D",.,"A",.,"A",.,"A",6500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299593,48,0,"5","01","D","100","D",.,"A","3","D",,"C","1953","D",.,"A",.,"A",.,"A",2797,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299642,34,0,"5","01","D","100","D",.,"A","3","D",,"C","1964","D",.,"A",.,"A",.,"A",3139,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299642,35,0,"5","02","D","400","D",.,"A","3","D",,"C","1950","D",.,"A",.,"A",.,"A",168,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299662,31,0,"5","01","D","100","D",.,"A","3","D","04","D","1997","D",.,"A",.,"A",.,"A",1850,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299693,21,0,"1","01","D","100","D",.,"A","1","D","06","D","2010","D",103000,"D",10000,"D",1100,"D",3200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D"
"20103",2299772,33,0,"5","01","D","100","D",.,"A","3","D","10","D","1998","D",.,"A",.,"A",.,"A",2500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299803,34,0,"5","01","D","100","D",.,"A","1","D","09","D","2001","D",.,"A",.,"A",.,"A",14928,"T",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299853,38,0,"5","01","D","100","D",.,"A","3","D","02","D","2005","D",.,"A",.,"A",.,"A",1300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299853,39,0,"5","02","D","400","D",.,"A","3","D","06","D","2006","D",.,"A",.,"A",.,"A",550,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299863,39,0,"5","01","D","100","D",.,"A","3","D","06","D","1982","D",.,"A",.,"A",.,"A",1000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299903,37,0,"5","01","D","100","D",.,"A","3","D","09","D","1995","D",.,"A",.,"A",.,"A",3308,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299922,39,0,"5","01","D","100","D",.,"A","3","D",,"C","1990","D",.,"A",.,"A",.,"A",3500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2300023,39,0,"5","01","D","100","D",.,"A","3","D","05","D","2006","D",.,"A",.,"A",.,"A",2800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2300073,27,0,"5","01","D","100","D",.,"A","3","D","12","D","2004","D",.,"A",.,"A",.,"A",619,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2300103,26,0,"5","01","D","100","D",.,"A","3","D","04","D","2007","D",.,"A",.,"A",.,"A",8000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
