"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR"
"20101",2009475,40,0,"5","01","D","100","D","2008","D",.,"A",36,"D","09","D",335,"D","3","D",.,"A",.,"A",3000,"D",.,"A",,"A",335,"D",335,"D",335,"D",.,"A",.,"A",.,"A",3000,"D",.,"A","HONAA","D",,"A"
"20101",2009745,41,0,"5","02","D","100","D","2010","D",.,"A",27,"D","09","D",299,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",299,"D",299,"D",299,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYXX","D",,"A"
"20101",2010385,26,0,"5","01","D","100","D","2005","D",.,"A",.,"C","11","F",300,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A","LEXAA","D",,"A"
"20101",2010685,35,0,"5","01","D","100","D","2008","D",.,"A",39,"D","09","D",412,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",412,"D",412,"D",412,"D",.,"A",.,"A",.,"A",.,"A",.,"A","ACUAG","D",,"A"
"20101",2010735,49,0,"5","01","D","100","D","2008","D",.,"A",39,"D","10","F",960,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",960,"D",960,"D",960,"D",.,"A",.,"A",.,"A",.,"A",.,"A","MRBAV","D",,"A"
"20101",2010735,50,0,"5","02","D","110","D","2008","D",.,"A",48,"D","03","F",986,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",986,"D",986,"D",986,"D",.,"A",.,"A",.,"A",.,"A",.,"A","LANXX","D",,"A"
"20101",2011045,46,0,"5","01","D","110","D","2009","D",.,"A",38,"D","09","D",435,"D","3","D",.,"A",.,"A",5000,"D",.,"A",,"A",435,"D",435,"D",435,"D",.,"A",.,"A",.,"A",5000,"D",.,"A","GMCXX","D",,"A"
"20101",2011735,38,0,"5","01","D","110","D","2007","D",.,"A",36,"D","12","D",550,"D","3","D",.,"A",.,"A",550,"D",.,"A",,"A",550,"D",550,"D",550,"D",.,"A",.,"A",.,"A",550,"D",.,"A","TOYAO","D",,"A"
"20101",2012345,24,0,"5","01","D","110","D","2007","D",.,"A",39,"D","07","F",425,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",425,"D",425,"D",425,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHRAM","D",,"A"
"20101",2012965,30,0,"5","02","D","110","D","2009","D",.,"A",60,"D","07","D",435,"D","3","D",.,"A",7500,"D",.,"A",.,"A",,"A",435,"D",435,"D",435,"D",.,"A",.,"A",.,"A",.,"A",.,"A","NISAW","D",,"A"
