"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20101",1997505,36,0,"1","170","D","11","D",50,"D"
"20101",1997505,37,0,"1","150","D","11","D",300,"D"
"20101",1997505,38,0,"1","150","D","12","D",100,"D"
"20101",1997505,39,0,"1","150","D","01","D",100,"D"
"20101",1997545,18,0,"1","170","D","12","D",10,"D"
"20101",1997545,19,0,"1","170","D","12","D",5,"D"
"20101",1997565,20,0,"1","180","D","12","D",150,"D"
"20101",1997565,21,0,"2","160","D","10","D",100,"D"
"20101",1997575,13,0,"1","110","D","13","D",980,"D"
"20101",1997575,14,0,"1","150","D","13","D",340,"D"
"20101",1997605,26,0,"1","140","D","11","D",35,"D"
"20101",1997605,27,0,"1","150","D","11","D",903,"D"
"20101",1997605,28,0,"1","150","D","12","D",1177,"D"
"20101",1997605,29,0,"1","150","D","01","D",1403,"D"
"20101",1997605,30,0,"1","160","D","01","D",30,"D"
"20101",1997605,31,0,"1","160","D","12","D",20,"D"
"20101",1997605,32,0,"1","160","D","12","D",35,"D"
"20101",1997605,33,0,"1","160","D","12","D",30,"D"
"20101",1997635,14,0,"1","110","D","13","D",600,"D"
"20101",1997635,15,0,"1","150","D","11","D",125,"D"
"20101",1997635,16,0,"1","150","D","12","D",125,"D"
"20101",1997645,15,0,"1","150","D","13","D",10,"D"
"20101",1997665,20,0,"1","160","D","13","D",10,"D"
"20101",1997665,21,0,"1","160","D","01","D",25,"D"
"20101",1997665,22,0,"1","150","D","13","D",30,"D"
"20101",1997675,20,0,"1","130","D","13","D",100,"D"
"20101",1997675,21,0,"1","160","D","01","D",100,"D"
"20101",1997685,14,0,"1","150","D","13","D",40,"D"
"20101",1997695,18,0,"1","170","D","12","D",400,"D"
"20101",1997695,19,0,"1","160","D","12","D",100,"D"
"20101",1997695,20,0,"2","160","D","10","D",50,"D"
"20101",1997705,19,0,"1","160","D","13","D",1,"D"
"20101",1997715,14,0,"1","170","D","12","D",600,"D"
"20101",1997715,15,0,"1","160","D","12","D",150,"D"
"20101",1997735,16,0,"1","150","D","13","D",80,"D"
"20101",1997745,15,0,"1","160","D","13","D",40,"D"
"20101",1997745,16,0,"1","160","D","13","D",40,"D"
"20101",1997745,17,0,"2","170","D","12","D",150,"D"
"20101",1997755,20,0,"1","170","D","10","D",25,"D"
"20101",1997755,21,0,"1","170","D","12","D",75,"D"
"20101",1997755,22,0,"1","150","D","13","D",40,"D"
"20101",1997755,23,0,"1","160","D","12","D",5,"D"
"20101",1997755,24,0,"1","160","D","12","D",5,"D"
"20101",1997755,25,0,"1","160","D","12","D",5,"D"
"20101",1997755,26,0,"1","160","D","12","D",5,"D"
"20101",1997765,44,0,"1","150","D","13","D",40,"D"
"20101",1997795,35,0,"1","100","D","13","D",200,"D"
"20101",1997795,36,0,"1","140","D","01","D",50,"D"
"20101",1997795,37,0,"1","160","D","13","D",40,"D"
"20101",1997865,25,0,"1","170","D","12","D",500,"D"
"20101",1997865,26,0,"1","160","D","13","D",22,"D"
"20101",1997875,46,0,"1","100","D","13","D",100,"D"
"20101",1997875,47,0,"1","170","D","12","D",190,"D"
"20101",1997875,48,0,"1","150","D","13","D",100,"D"
"20101",1997875,49,0,"1","160","D","11","D",100,"D"
"20101",1997875,50,0,"1","160","D","12","D",100,"D"
"20101",1997875,51,0,"1","130","D","11","D",50,"D"
"20101",1997875,52,0,"1","160","D","10","D",52,"D"
"20101",1997875,53,0,"1","160","D","11","D",30,"D"
"20101",1997875,54,0,"1","130","D","12","D",50,"D"
"20101",1997925,14,0,"1","160","D","01","D",5,"D"
"20101",1997925,15,0,"1","150","D","12","D",15,"D"
"20101",1997925,16,0,"1","150","D","01","D",10,"D"
"20101",1997925,17,0,"1","150","D","11","D",20,"D"
"20101",1997935,18,0,"1","170","D","10","D",100,"D"
"20101",1997955,25,0,"1","170","D","12","D",20,"D"
"20101",1997975,13,0,"1","170","D","12","D",1000,"D"
"20101",1997975,14,0,"1","150","D","12","D",900,"D"
"20101",1997975,15,0,"1","160","D","01","D",100,"D"
"20101",1997975,16,0,"2","170","D","11","D",100,"D"
"20101",1997985,18,0,"1","160","D","12","D",20,"D"
"20101",1998005,17,0,"1","170","D","12","D",300,"D"
"20101",1998035,29,0,"1","170","D","12","D",300,"D"
"20101",1998035,30,0,"1","110","D","13","D",700,"D"
"20101",1998035,31,0,"2","170","D","10","D",160,"D"
"20101",1998075,27,0,"1","170","D","12","D",80,"D"
"20101",1998075,28,0,"1","160","D","13","D",20,"D"
"20101",1998075,29,0,"1","160","D","13","D",100,"D"
"20101",1998075,30,0,"1","160","D","11","D",50,"D"
"20101",1998075,31,0,"1","160","D","01","D",50,"D"
"20101",1998075,32,0,"1","160","D","01","D",50,"D"
"20101",1998105,16,0,"1","150","D","12","D",25,"D"
"20101",1998105,17,0,"1","160","D","12","D",25,"D"
"20101",1998135,17,0,"1","150","D","11","D",94,"F"
"20101",1998135,18,0,"1","150","D","12","D",94,"F"
"20101",1998135,19,0,"2","150","D","10","D",94,"F"
"20101",1998145,15,0,"1","170","D","12","D",300,"D"
"20101",1998205,25,0,"1","150","D","13","D",50,"D"
"20101",1998205,26,0,"1","160","D","01","D",50,"D"
"20101",1998255,17,0,"1","150","D","13","D",400,"D"
"20101",1998255,18,0,"1","160","D","13","D",30,"D"
"20101",1998285,15,0,"1","150","D","13","D",40,"D"
"20101",1998285,16,0,"1","150","D","13","D",30,"D"
"20101",1998365,24,0,"1","170","D","11","D",200,"D"
"20101",1998365,25,0,"1","170","D","12","D",500,"D"
"20101",1998365,26,0,"1","170","D","01","D",250,"D"
"20101",1998365,27,0,"1","150","D","13","D",80,"D"
"20101",1998365,28,0,"1","160","D","12","D",20,"D"
"20101",1998365,29,0,"1","160","D","12","D",10,"D"
"20101",1998365,30,0,"1","160","D","01","D",30,"D"
"20101",1998375,20,0,"1","150","D","13","D",75,"D"
"20101",1998445,26,0,"1","100","D","13","D",200,"D"
"20101",1998445,27,0,"1","170","D","12","D",200,"D"
"20101",1998445,28,0,"1","170","D","12","D",300,"D"
"20101",1998445,29,0,"1","170","D","12","D",250,"D"
"20101",1998485,28,0,"1","100","D","12","D",300,"D"
"20101",1998485,29,0,"1","100","D","01","D",300,"D"
"20101",1998485,30,0,"1","100","D","02","D",300,"D"
"20101",1998485,31,0,"1","160","D","12","D",500,"D"
"20101",1998495,17,0,"1","170","D","12","D",300,"D"
"20101",1998515,35,0,"1","150","D","13","D",350,"D"
"20101",1998515,36,0,"1","160","D","13","D",50,"D"
"20101",1998525,15,0,"1","160","D","02","D",50,"D"
"20101",1998525,16,0,"2","160","D","12","D",25,"D"
"20101",1998535,16,0,"1","110","D","13","D",137,"D"
"20101",1998565,22,0,"1","170","D","12","D",15,"D"
"20101",1998565,23,0,"1","170","D","12","D",50,"D"
"20101",1998585,20,0,"1","150","D","13","D",660,"D"
"20101",1998625,14,0,"1","170","D","12","D",10000,"D"
"20101",1998625,15,0,"1","150","D","12","D",3500,"D"
"20101",1998625,16,0,"1","150","D","13","D",35,"D"
"20101",1998625,17,0,"1","160","D","13","D",30,"D"
"20101",1998635,14,0,"1","150","D","13","D",300,"D"
"20101",1998655,20,0,"1","150","D","13","D",500,"D"
"20101",1998665,14,0,"1","160","D","12","D",30,"D"
"20101",1998675,41,0,"1","150","D","12","D",270,"D"
"20101",1998675,42,0,"1","150","D","01","D",405,"D"
"20101",1998675,43,0,"1","150","D","02","D",270,"D"
"20101",1998685,17,0,"1","170","D","12","D",10,"D"
"20101",1998705,21,0,"1","170","D","02","D",200,"D"
"20101",1998705,22,0,"1","160","D","01","D",50,"D"
"20101",1998715,19,0,"1","170","D","02","D",85,"D"
"20101",1998715,20,0,"2","160","D","12","D",10,"D"
"20101",1998765,13,0,"2","170","D","12","D",40,"D"
"20101",1998765,14,0,"2","150","D","12","D",15,"D"
"20101",1998775,14,0,"1","160","D","12","D",5,"D"
"20101",1998775,15,0,"1","160","D","02","D",25,"D"
"20101",1998785,14,0,"1","160","D","12","D",100,"D"
"20101",1998795,15,0,"1","150","D","10","D",45,"D"
"20101",1998795,16,0,"1","150","D","11","D",45,"D"
