"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFRT3MCX","QFRT_MCX","QREP3MCX","QREP_MCX"
"20103",2200044,14,0,"1",400,"D",.,"A"
"20103",2203684,32,0,"1",.,"A",10,"D"
"20103",2204424,14,0,"1",.,"A",.,"A"
"20103",2212244,19,0,"1",0,"D",.,"A"
"20103",2213274,22,0,"1",537,"D",.,"A"
"20103",2214164,18,0,"1",90,"D",.,"A"
"20103",2216824,29,0,"1",.,"A",350,"D"
"20103",2217744,14,0,"1",.,"A",.,"A"
"20103",2223794,22,0,"1",.,"A",250,"D"
"20103",2224995,21,0,"1",645,"D",.,"A"
"20103",2225034,17,0,"1",.,"A",40,"D"
"20103",2226695,19,0,"1",.,"A",18,"D"
"20103",2228902,14,0,"1",.,"A",.,"A"
"20103",2229102,15,0,"1",.,"A",.,"A"
"20103",2230673,27,0,"1",.,"A",577,"D"
"20103",2230922,21,0,"1",.,"A",0,"D"
"20103",2231563,28,0,"1",.,"A",5,"D"
"20103",2238503,18,0,"1",0,"D",.,"A"
"20103",2241683,26,0,"1",.,"A",125,"D"
"20103",2244013,23,0,"1",.,"A",0,"D"
"20103",2244423,41,0,"1",.,"A",40,"D"
"20103",2245113,18,0,"1",417,"D",.,"A"
"20103",2247872,19,0,"1",300,"D",.,"A"
"20103",2250013,14,0,"1",.,"A",.,"A"
"20103",2251412,23,0,"1",920,"D",.,"A"
"20103",2252352,26,0,"1",.,"A",65,"D"
"20103",2254943,36,0,"1",.,"A",86,"D"
"20103",2259722,19,0,"1",0,"D",.,"A"
"20103",2262453,41,0,"1",.,"A",1140,"D"
"20103",2263292,14,0,"1",.,"A",.,"A"
"20103",2274383,29,0,"1",400,"D",.,"A"
"20103",2275513,21,0,"1",.,"A",5,"D"
"20103",2278423,32,0,"1",0,"D",.,"A"
"20103",2281573,14,0,"1",.,"A",.,"A"
"20103",2282143,28,0,"1",.,"A",300,"D"
"20103",2291372,17,0,"1",120,"D",.,"A"
"20103",2291454,24,0,"1",.,"A",280,"D"
"20103",2292803,48,0,"1",.,"A",650,"D"
"20103",2294442,14,0,"1",366,"D",.,"A"
"20103",2294883,16,0,"1",.,"A",.,"A"
"20103",2295463,34,0,"1",.,"A",47,"D"
"20103",2297563,30,0,"1",.,"A",125,"D"
"20103",2303922,16,0,"1",1110,"D",.,"A"
"20103",2306633,33,0,"1",.,"A",.,"A"
"20103",2313495,30,0,"1",.,"A",30,"D"
"20103",2328394,19,0,"1",0,"D",.,"A"
"20103",2332425,28,0,"1",.,"A",15,"D"
"20103",2332545,23,0,"1",.,"A",16,"D"
"20103",2334595,24,0,"1",0,"D",.,"A"
"20103",2334745,39,0,"1",.,"A",18,"D"
"20103",2339252,21,0,"1",.,"A",.,"A"
"20104",2199275,34,0,"1",.,"A",20,"D"
"20104",2200045,17,0,"1",0,"D",.,"A"
"20104",2200705,19,0,"1",370,"D",.,"A"
"20104",2206665,21,0,"1",.,"A",175,"D"
"20104",2210095,37,0,"1",.,"A",8,"D"
"20104",2210665,39,0,"1",.,"A",0,"D"
"20104",2210815,34,0,"1",.,"A",0,"D"
"20104",2211505,43,0,"1",.,"A",125,"D"
"20104",2217745,15,0,"1",.,"A",.,"A"
"20104",2220175,50,0,"1",.,"A",30,"D"
"20104",2233605,16,0,"1",.,"A",.,"A"
"20104",2234884,43,0,"1",150,"D",.,"A"
"20104",2237834,28,0,"1",.,"A",0,"D"
"20104",2239254,15,0,"1",300,"D",.,"A"
"20104",2239983,14,0,"1",.,"A",.,"A"
"20104",2240093,23,0,"1",.,"A",89,"D"
"20104",2241023,29,0,"1",.,"A",12,"D"
"20104",2241944,21,0,"1",.,"A",10,"D"
"20104",2242433,35,0,"1",.,"A",5,"D"
"20104",2242454,15,0,"1",.,"A",.,"A"
"20104",2243013,25,0,"1",.,"A",500,"D"
"20104",2244303,24,0,"1",.,"A",800,"D"
"20104",2244424,52,0,"1",.,"A",30,"D"
"20104",2245114,19,0,"1",278,"D",.,"A"
"20104",2250014,14,0,"1",.,"A",.,"A"
"20104",2251413,26,0,"1",2380,"D",.,"A"
"20104",2251813,18,0,"1",.,"A",700,"D"
"20104",2253583,15,0,"1",.,"A",.,"A"
"20104",2254944,49,0,"1",.,"A",8,"D"
"20104",2257353,22,0,"1",40,"D",.,"A"
"20104",2259523,34,0,"1",.,"A",0,"D"
"20104",2259723,18,0,"1",0,"D",.,"A"
"20104",2259943,19,0,"1",.,"A",489,"D"
"20104",2261433,14,0,"1",.,"A",.,"A"
"20104",2267953,16,0,"1",270,"D",.,"A"
"20104",2269034,16,0,"1",.,"A",900,"D"
"20104",2269184,15,0,"1",.,"A",.,"A"
"20104",2269973,17,0,"1",286,"D",.,"A"
"20104",2270844,27,0,"1",.,"A",75,"D"
"20104",2271533,31,0,"1",.,"A",25,"D"
"20104",2275634,22,0,"1",.,"A",160,"D"
"20104",2278424,28,0,"1",360,"D",.,"A"
"20104",2281243,23,0,"1",.,"A",14,"D"
"20104",2281924,25,0,"1",.,"A",400,"D"
"20104",2281935,31,0,"1",.,"A",3410,"D"
"20104",2282144,22,0,"1",.,"A",300,"D"
"20104",2282243,37,0,"1",.,"A",20,"D"
"20104",2287424,18,0,"1",.,"A",100,"D"
"20104",2290784,32,0,"1",.,"A",.,"A"
"20104",2291294,23,0,"1",.,"A",262,"D"
"20104",2294443,15,0,"1",366,"D",.,"A"
"20104",2295064,38,0,"1",.,"A",400,"D"
"20104",2296214,27,0,"1",.,"A",42,"D"
"20104",2297124,21,0,"1",.,"A",.,"A"
"20104",2303923,16,0,"1",810,"D",.,"A"
"20104",2308582,14,0,"1",.,"A",.,"A"
"20104",2310372,20,0,"1",.,"A",0,"D"
"20104",2314852,33,0,"1",.,"A",40,"D"
"20104",2315952,79,0,"1",.,"A",40,"D"
"20104",2316082,31,0,"1",.,"A",50,"D"
"20104",2316472,41,0,"1",350,"D",.,"A"
"20104",2318612,18,0,"1",0,"D",.,"A"
"20104",2322422,18,0,"1",650,"F",.,"A"
"20104",2322622,24,0,"1",.,"A",0,"D"
"20104",2327612,14,0,"1",.,"A",.,"A"
"20104",2327912,39,0,"1",.,"A",90,"D"
"20104",2328072,29,0,"1",.,"A",4,"D"
"20104",2331802,31,0,"1",475,"D",.,"A"
"20104",2335892,14,0,"1",.,"A",.,"A"
"20104",2336363,18,0,"1",100,"D",.,"A"
"20104",2337132,32,0,"1",.,"A",300,"D"
"20104",2337562,15,0,"1",.,"A",.,"A"
"20104",2337682,29,0,"1",.,"A",500,"D"
"20104",2338002,15,0,"1",.,"A",1500,"D"
"20104",2339002,15,0,"1",.,"A",.,"A"
"20104",2339944,19,0,"1",.,"A",20,"D"
"20104",2341262,14,0,"1",797,"D",.,"A"
"20104",2341452,26,0,"1",.,"A",325,"D"
"20104",2342432,32,0,"1",.,"A",0,"D"
"20104",2354952,26,0,"1",510,"D",.,"A"
"20104",2357053,30,0,"1",.,"A",1112,"D"
"20104",2358125,27,0,"1",200,"D",.,"A"
"20104",2360955,18,0,"1",.,"A",.,"A"
"20104",2361595,15,0,"1",.,"A",.,"A"
"20104",2362204,21,0,"1",2747,"D",.,"A"
"20104",2366464,20,0,"1",.,"A",45,"D"
"20104",2367413,26,0,"1",0,"D",.,"A"
"20115",2239484,27,0,"1",.,"A",40,"D"
"20115",2239555,52,0,"1",.,"A",0,"D"
"20115",2242455,23,0,"1",.,"A",.,"A"
"20115",2243014,18,0,"1",.,"A",500,"D"
"20115",2246454,20,0,"1",.,"A",30,"D"
"20115",2251814,23,0,"1",.,"A",700,"D"
"20115",2255815,15,0,"1",.,"A",.,"A"
"20115",2259524,31,0,"1",.,"A",2000,"D"
"20115",2259724,23,0,"1",240,"D",.,"A"
"20115",2259944,18,0,"1",.,"A",784,"D"
"20115",2260195,22,0,"1",.,"A",0,"D"
"20115",2260834,23,0,"1",.,"A",70,"D"
"20115",2266375,24,0,"1",2475,"D",.,"A"
"20115",2269115,27,0,"1",.,"A",80,"D"
"20115",2272345,29,0,"1",.,"A",270,"D"
"20115",2274264,38,0,"1",357,"D",.,"A"
"20115",2275864,17,0,"1",.,"A",2,"D"
"20115",2278014,15,0,"1",.,"A",.,"A"
"20115",2278425,34,0,"1",342,"D",.,"A"
"20115",2280075,21,0,"1",.,"A",150,"D"
"20115",2281964,36,0,"1",.,"A",1608,"D"
"20115",2282145,43,0,"1",.,"A",0,"D"
"20115",2286615,26,0,"1",.,"A",1500,"D"
"20115",2286795,28,0,"1",.,"A",80,"D"
"20115",2290854,29,0,"1",.,"A",25,"D"
"20115",2291295,22,0,"1",.,"A",265,"D"
"20115",2294465,26,0,"1",.,"A",51,"D"
"20115",2299144,21,0,"1",.,"A",175,"D"
"20115",2299924,36,0,"1",.,"A",140,"D"
"20115",2303924,24,0,"1",840,"D",.,"A"
"20115",2309053,18,0,"1",.,"A",45,"D"
"20115",2310843,37,0,"1",.,"A",25,"D"
"20115",2317263,23,0,"1",.,"A",60,"D"
"20115",2318613,16,0,"1",456,"D",.,"A"
"20115",2321053,17,0,"1",.,"A",10,"D"
"20115",2322863,26,0,"1",.,"A",25,"D"
"20115",2324143,18,0,"1",.,"A",67,"D"
"20115",2328143,34,0,"1",.,"A",85,"D"
"20115",2328613,22,0,"1",0,"D",.,"A"
"20115",2332263,17,0,"1",.,"A",0,"D"
"20115",2333373,30,0,"1",.,"A",40,"D"
"20115",2335893,14,0,"1",.,"A",.,"A"
"20115",2335923,19,0,"1",.,"A",.,"A"
"20115",2337373,33,0,"1",.,"A",.,"A"
"20115",2338673,18,0,"1",75,"D",.,"A"
"20115",2341263,14,0,"1",144,"D",.,"A"
"20115",2344352,16,0,"1",.,"A",160,"D"
"20115",2345232,14,0,"1",.,"A",.,"A"
"20115",2346562,40,0,"1",336,"D",.,"A"
"20115",2347252,18,0,"1",.,"A",.,"A"
"20115",2347712,39,0,"1",0,"D",.,"A"
"20115",2347922,26,0,"1",.,"A",25,"D"
"20115",2353052,33,0,"1",32,"D",.,"A"
"20115",2354632,20,0,"1",27,"D",.,"A"
"20115",2354802,20,0,"1",.,"A",50,"D"
"20115",2358142,24,0,"1",.,"A",450,"D"
"20115",2359102,25,0,"1",.,"A",.,"A"
"20115",2361772,20,0,"1",0,"D",.,"A"
"20115",2371895,18,0,"1",260,"D",.,"A"
"20115",2374222,24,0,"1",.,"A",20,"D"
"20115",2374302,16,0,"1",.,"A",10,"D"
"20115",2376132,19,0,"1",200,"D",.,"A"
"20115",2378315,35,0,"1",120,"D",.,"A"
