"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMLOC","NUMLOC_","LOCLODGX","LOCL_DGX","ALCMEALX","ALCM_ALX","ALCGROCX","ALCG_OCX","LOCADMSX","LOCA_MSX","FOODLCDL","FOOD_CDL","LODGLCDL","LODG_CDL","ENTRLCDL","ENTR_CDL","ELSELCDL","ELSE_CDL","QLCMLAX","QLCMLAX_","QLCGLAX","QLCGLAX_"
"20101",2225364,32,0,"1",10,"D",200,"D",50,"D",12,"D",.,"A",,"A",,"A",,"A",,"A",150,"D",0,"D"
"20101",2226483,57,0,"1",1,"D",80,"D",.,"A",40,"D",.,"A",,"A",,"A",,"A",,"A",.,"A",0,"D"
"20101",2226673,42,0,"1",1,"D",101,"G",14,"G",.,"A",43,"G","1","D","1","D","1","D","1","D",42,"G",.,"A"
"20101",2227264,33,0,"1",4,"D",350,"D",20,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",180,"D",.,"A"
"20101",2227334,38,0,"1",2,"D",120,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",.,"A"
"20101",2227545,50,0,"1",1,"D",80,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20101",2227575,56,0,"1",5,"D",400,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",200,"D",100,"D"
"20102",2019285,64,0,"1",1,"D",64,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20102",2024205,49,0,"1",1,"D",963,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20102",2026075,44,0,"1",2,"D",400,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20102",2026245,67,0,"1",5,"D",634,"G",63,"G",3,"G",.,"A",,"A",,"A",,"A",,"A",200,"G",4,"G"
"20102",2029465,46,0,"1",2,"D",488,"F",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",35,"F",.,"A"
"20102",2031135,59,0,"1",1,"D",88,"G",15,"G",.,"A",.,"A","1","D","1","D","2","D","2","D",35,"G",.,"A"
"20102",2033995,25,0,"1",5,"D",400,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20102",2040865,58,0,"1",1,"D",100,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",30,"D",.,"A"
"20102",2041255,63,0,"1",2,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",40,"D",.,"A"
"20102",2164905,46,0,"1",1,"D",200,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20102",2180394,68,0,"1",3,"D",188,"G",54,"G",.,"A",16,"D","1","D","1","D","2","D","2","D",123,"G",44,"D"
"20102",2185074,92,0,"1",.,"C",468,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
