"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX","QPYP3MCX","QPYP_MCX","QPRP3MCX","QPRP_MCX"
"20102",2222173,31,0,"1",.,"A",.,"A",60,"D"
"20102",2222303,50,0,"1",.,"A",1,"D",.,"A"
"20102",2222893,60,0,"1",20,"D",.,"A",.,"A"
"20102",2222913,108,0,"1",100,"D",.,"A",.,"A"
"20102",2223153,32,0,"1",.,"A",.,"A",200,"D"
"20102",2223343,24,0,"1",.,"A",.,"A",0,"D"
"20102",2223393,39,0,"1",.,"A",.,"A",.,"A"
"20102",2223593,28,0,"1",.,"A",.,"A",30,"D"
"20102",2223603,38,0,"1",40,"D",.,"A",.,"A"
"20102",2223823,45,0,"1",20,"D",.,"A",.,"A"
"20102",2223843,25,0,"1",.,"A",.,"A",40,"D"
"20102",2223853,26,0,"1",56,"D",.,"A",.,"A"
"20102",2223973,34,0,"1",.,"A",.,"A",0,"D"
"20102",2224195,25,0,"1",.,"A",.,"A",90,"D"
"20102",2224215,38,0,"1",.,"A",.,"A",20,"D"
"20102",2224313,37,0,"1",15,"D",.,"A",.,"A"
"20102",2224523,30,0,"1",120,"D",.,"A",.,"A"
"20102",2224735,56,0,"1",40,"D",.,"A",20,"D"
"20102",2224743,72,0,"1",90,"D",.,"A",.,"A"
"20102",2225074,20,0,"1",65,"D",.,"A",.,"A"
"20102",2225615,45,0,"1",.,"A",.,"A",50,"D"
"20102",2225693,72,0,"1",.,"A",0,"D",.,"A"
"20102",2225875,42,0,"1",.,"A",5,"D",.,"A"
"20102",2225975,33,0,"1",0,"D",.,"A",.,"A"
"20102",2225995,36,0,"1",40,"D",.,"A",.,"A"
"20102",2226013,35,0,"1",.,"A",24,"D",.,"A"
"20102",2226024,22,0,"1",22,"D",.,"A",.,"A"
"20102",2226134,38,0,"1",75,"D",.,"A",.,"A"
"20102",2226275,35,0,"1",20,"D",.,"A",.,"A"
"20102",2226493,33,0,"1",30,"D",.,"A",.,"A"
"20102",2226643,31,0,"1",30,"D",.,"A",.,"A"
"20102",2226753,20,0,"1",.,"A",.,"A",90,"D"
"20102",2226963,23,0,"1",27,"D",.,"A",.,"A"
"20102",2227105,34,0,"1",75,"D",.,"A",.,"A"
