"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CREDITR1","CRED_TR1","CREDITX1","CRED_TX1"
"20091",1909645,53,0,"4","130","D",21650,"D"
"20091",1909645,54,0,"4","130","D",7000,"D"
"20091",1909645,55,0,"4","130","D",4900,"D"
"20091",1909645,56,0,"4","130","D",3980,"D"
"20091",1909645,57,0,"4","200","D",2800,"D"
"20091",1909645,58,0,"4","800","D",13715,"D"
"20091",1909655,29,0,"4","700","D",1170,"D"
"20091",1909665,29,0,"4","120","D",1200,"D"
"20091",1909665,30,0,"4","120","D",2500,"D"
"20091",1909665,31,0,"4","130","D",2000,"D"
"20091",1909665,32,0,"4","130","D",3000,"D"
"20091",1909665,33,0,"4","130","D",8000,"D"
"20091",1909665,34,0,"4","130","D",8000,"D"
"20091",1909665,35,0,"4","130","D",6000,"D"
"20091",1909665,36,0,"4","130","D",11000,"D"
"20091",1909665,37,0,"4","130","D",9000,"D"
"20091",1909665,38,0,"4","130","D",3000,"D"
"20091",1909665,39,0,"4","800","D",69000,"D"
"20091",1909665,40,0,"4","120","D",2300,"D"
"20091",1909675,35,0,"4","700","D",160,"F"
"20091",1909685,28,0,"4","130","D",4800,"D"
"20091",1909685,29,0,"4","130","D",1600,"D"
"20091",1909735,31,0,"4","120","D",200,"D"
"20091",1909735,32,0,"4","130","D",700,"D"
"20091",1909745,18,0,"4","130","D",3300,"D"
"20091",1909755,21,0,"4","130","D",500,"D"
"20091",1909755,22,0,"4","510","D",2300,"D"
"20091",1909775,35,0,"4","130","D",27000,"D"
"20091",1909785,28,0,"4","700","D",2000,"D"
"20091",1909785,29,0,"4","700","D",900,"D"
"20091",1909815,28,0,"4","130","D",185,"D"
"20091",1909855,15,0,"4","120","D",13,"D"
"20091",1909855,16,0,"4","130","D",3000,"D"
"20091",1909855,17,0,"4","130","D",900,"D"
"20091",1909855,18,0,"4","510","D",570,"D"
"20091",1909855,19,0,"4","700","D",500,"D"
"20091",1909865,15,0,"4","130","D",10000,"D"
"20091",1909885,19,0,"4","120","D",400,"D"
"20091",1909885,20,0,"4","800","D",12000,"D"
"20091",1909905,20,0,"4","120","D",200,"D"
"20091",1909905,21,0,"4","120","D",2200,"D"
"20091",1909905,22,0,"4","130","D",7000,"D"
"20091",1909905,23,0,"4","700","D",275,"D"
"20091",1909905,24,0,"4","800","D",2300,"D"
"20091",1909925,19,0,"4","130","D",4000,"D"
"20091",1910025,29,0,"4","130","D",200,"D"
"20091",1910025,30,0,"4","130","D",100,"D"
"20091",1910035,19,0,"4","700","D",87,"D"
"20091",1910055,25,0,"4","130","D",1000,"D"
"20091",1910055,26,0,"4","130","D",600,"D"
"20091",1910055,27,0,"4","700","D",2960,"D"
"20091",1910115,26,0,"4","130","D",7500,"D"
"20091",1910155,14,0,"4","130","D",10000,"D"
"20091",1910155,15,0,"4","700","D",3000,"D"
"20091",1910155,16,0,"4","800","D",2490,"D"
"20091",1910315,16,0,"4","130","D",1000,"D"
"20091",1910315,17,0,"4","200","D",700,"D"
"20091",1910325,23,0,"4","130","D",4000,"D"
"20091",1910375,19,0,"4","130","D",2700,"D"
"20091",1910425,16,0,"4","130","D",250,"D"
"20091",1910435,21,0,"4","130","D",7000,"D"
"20091",1910435,22,0,"4","130","D",1200,"D"
"20091",1910435,23,0,"4","800","D",22000,"D"
"20091",1910455,39,0,"4","120","D",285,"D"
"20091",1910455,40,0,"4","120","D",132,"D"
"20091",1910455,41,0,"4","120","D",497,"D"
"20091",1910455,42,0,"4","120","D",42,"D"
"20091",1910455,43,0,"4","120","D",2538,"D"
"20091",1910455,44,0,"4","120","D",516,"D"
"20091",1910455,45,0,"4","130","D",3400,"D"
"20091",1910455,46,0,"4","130","D",1485,"D"
"20091",1910475,20,0,"4","130","D",121,"D"
"20091",1910475,21,0,"4","130","D",27,"D"
"20091",1910535,24,0,"4","130","D",300,"D"
"20091",1910555,19,0,"4","130","D",13000,"D"
"20091",1910555,20,0,"4","130","D",8000,"D"
"20091",1910625,18,0,"4","200","D",400,"D"
"20091",1910625,19,0,"4","700","D",1116,"D"
"20091",1910765,29,0,"4","120","D",400,"D"
"20091",1910785,28,0,"4","800","D",10000,"D"
"20091",1910805,16,0,"4","110","D",250,"D"
"20091",1910805,17,0,"4","130","D",3500,"D"
"20091",1910825,26,0,"4","130","D",1200,"D"
"20091",1910845,31,0,"4","110","D",130,"D"
"20091",1910895,22,0,"4","510","D",1200,"D"
