"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QPSF3MCX","QPSF_MCX","QSSF3MCX","QSSF_MCX","QEAD3MCX","QEAD_MCX","QREC3MCX","QREC_MCX","QFLM3MCX","QFLM_MCX","QFLP3MCX","QFLP_MCX","QPVD3MCX","QPVD_MCX","QRVD3MCX","QRVD_MCX","QENT3MCX","QENT_MCX","QBR3MCX","QBR3MCX_","QNMG3MCX","QNMG_MCX"
"20091",1990622,14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3,"D"
"20091",1990634,18,0,"1",.,"A",.,"A",9,"D",.,"A",.,"A",.,"A",.,"A",24,"D",.,"A",.,"A",.,"A"
"20091",1990645,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",.,"A",100,"D",.,"A"
"20091",1990653,29,0,"1",.,"A",.,"A",240,"D",.,"A",.,"A",.,"A",83,"D",10,"D",.,"A",80,"D",.,"A"
"20091",1990662,18,0,"1",.,"A",.,"A",6,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",100,"D",.,"A"
"20091",1990682,13,0,"1",30,"D",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",10,"D",10,"D"
"20091",1990692,17,0,"1",340,"D",.,"A",.,"A",30,"D",.,"A",.,"A",20,"D",.,"A",.,"A",110,"D",100,"D"
"20091",1990712,26,0,"1",130,"D",36,"D",.,"A",.,"A",.,"A",.,"A",.,"A",45,"D",.,"A",50,"D",40,"D"
"20091",1990722,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",15,"D",.,"A",.,"A",.,"A",2,"D",.,"A"
"20091",1990732,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",50,"D",12,"D",.,"A",.,"A",.,"A"
"20091",1990742,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",20,"D",.,"A"
"20091",1990753,13,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",204,"D"
"20091",1990772,51,0,"1",.,"A",.,"A",15,"D",30,"D",15,"D",60,"D",150,"D",23,"D",.,"A",485,"D",.,"A"
"20091",1990792,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",100,"D",.,"A"
"20091",1990812,19,0,"1",.,"A",.,"A",75,"D",15,"D",.,"A",.,"A",.,"A",40,"D",75,"D",75,"D",15,"D"
"20091",1990833,16,0,"1",.,"A",.,"A",.,"A",20,"D",.,"A",15,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1990844,32,0,"1",.,"A",.,"A",230,"D",0,"D",.,"A",.,"A",25,"D",0,"D",.,"A",160,"D",5,"D"
"20091",1990862,21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",20,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1990882,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",8,"D",.,"A",36,"D",0,"D",.,"A",.,"A"
"20091",1990903,29,0,"1",.,"A",5,"D",.,"A",.,"A",.,"A",.,"A",120,"D",80,"D",.,"A",.,"A",.,"A"
"20091",1990912,24,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",25,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1990942,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",5,"D",.,"A",.,"A",.,"A",.,"A"
"20091",1990954,21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",.,"A",.,"A",.,"A"
"20091",1990992,16,0,"1",.,"A",.,"A",75,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1991003,13,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",65,"D",.,"A"
"20091",1991012,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",23,"D"
"20091",1991022,18,0,"1",.,"A",.,"A",50,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
