"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD"
"20092",1981073,37,0,"1",1950,"D",325,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",1625,"D","2","D"
"20092",1981084,45,0,"1",1105,"D",234,"D",.,"A",156,"D",.,"A",.,"A",.,"A",.,"A",871,"D","2","D"
"20092",1981093,36,0,"1",520,"D",104,"D",130,"D",130,"D",.,"A",.,"A",.,"A",.,"A",416,"D","1","D"
"20092",1981103,40,0,"1",1950,"D",650,"D",.,"A",975,"D",.,"A",.,"A",.,"A",.,"A",1300,"D","2","D"
"20092",1981115,37,0,"1",2210,"D",260,"D",260,"D",1040,"D",.,"A",.,"A",.,"A",.,"A",1950,"D","2","D"
"20092",1981124,34,0,"1",1625,"D",390,"D",.,"A",975,"D",.,"A",.,"A",.,"A",.,"A",1235,"D","2","D"
"20092",1981133,79,0,"1",3900,"D",1300,"D",.,"A",1300,"D",0,"D",.,"A",.,"A",.,"A",2600,"D","2","D"
"20092",1981143,30,0,"1",780,"D",195,"D",.,"A",195,"D",.,"A",.,"A",.,"A",.,"A",585,"D","2","D"
"20092",1981173,73,0,"1",1950,"D",0,"D",195,"D",650,"D",.,"A",.,"A",.,"A",.,"A",1950,"D","2","D"
"20092",1981183,53,0,"1",1040,"D",130,"D",.,"A",195,"D",.,"A",.,"A",.,"A",.,"A",910,"D","2","D"
"20092",1981193,58,0,"1",2600,"D",910,"D",.,"A",0,"D",0,"D",.,"A",.,"A",24,"D",1690,"D","2","D"
"20092",1981203,52,0,"1",2600,"D",325,"D",325,"D",650,"D",240,"D",.,"A",.,"A",.,"A",2275,"D","2","D"
"20092",1981213,44,0,"1",1170,"D",260,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",910,"D","2","D"
"20092",1981224,48,0,"1",975,"D",130,"D",195,"D",1170,"D",60,"D",6,"D",24,"D",.,"A",845,"D","2","D"
"20092",1981233,44,0,"1",325,"D",0,"D",.,"A",520,"D",450,"D",.,"A",.,"A",.,"A",325,"D","2","D"
"20092",1981243,47,0,"1",390,"D",244,"F",265,"F",650,"D",.,"A",.,"A",.,"A",.,"A",1085,"F","2","D"
"20092",1981253,39,0,"1",650,"D",65,"D",.,"A",520,"D",30,"D",.,"A",.,"A",.,"A",585,"D","2","D"
"20092",1981263,27,0,"1",1300,"D",0,"D",.,"A",325,"D",.,"A",.,"A",.,"A",.,"A",1300,"D","2","D"
"20092",1981273,50,0,"1",1625,"D",390,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",1235,"D","2","D"
"20092",1981283,78,0,"1",1950,"D",260,"D",.,"A",1300,"D",150,"D",.,"A",.,"A",.,"A",1690,"D","2","D"
"20092",1981293,37,0,"1",260,"D",0,"D",.,"A",78,"D",45,"D",.,"A",.,"A",.,"A",260,"D","2","D"
"20092",1981303,42,0,"1",975,"D",130,"D",.,"A",195,"D",.,"A",.,"A",.,"A",.,"A",845,"D","2","D"
"20092",1981313,76,0,"1",3250,"D",325,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",2925,"D","2","D"
"20092",1981324,63,0,"1",2600,"D",390,"D",65,"D",130,"D",.,"A",.,"A",.,"A",.,"A",2210,"D","2","D"
"20092",1981333,37,0,"1",1950,"D",520,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",1430,"D","2","D"
