"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CLOTHYB","CLOTHYB_","CLOGFTB","CLOGFTB_","CLOTHQB","CLOTHQB_","CLOTHMOB","CLOT_MOB","CLOTHXB","CLOTHXB_","AGE_SEXB","AGE__EXB","CLOTHB1","CLOTHB1_","CLOTHB2","CLOTHB2_","CLOTHB3","CLOTHB3_","CLOTHB4","CLOTHB4_","CLOTHB5","CLOTHB5_","CLOTHB6","CLOTHB6_","CLOTHB7","CLOTHB7_","CLOTHB8","CLOTHB8_","CLOTHB9","CLOTHB9_"
"20091",1906635,40,0,"1","370","D","1","D",1,"D","12","D",150,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20091",1906745,19,0,"1","300","D","2","D",8,"D","10","D",30,"D","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20091",1906875,14,0,"1","330","D","2","D",.,"C","12","D",.,"H","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20091",1906875,14,1,"1","200","D","2","D",.,"B","12","D",18,"E","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20091",1906875,14,2,"1","310","D","2","D",.,"B","12","D",13,"E","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20091",1906875,14,3,"1","320","D","2","D",.,"B","12","D",19,"E","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20091",1906895,19,0,"1","300","D","2","D",.,"C","12","D",107,"D","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20091",1906895,20,0,"1","300","D","2","D",.,"C","12","D",107,"D","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20091",1907125,18,0,"1","370","D","1","D",1,"D","11","D",19,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20091",1907345,24,0,"1","300","D","2","D",8,"D","12","D",50,"D","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20091",1907345,25,0,"1","380","D","2","D",1,"D","12","D",22,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20091",1907345,26,0,"1","380","D","2","D",1,"D","11","D",22,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20091",1907345,27,0,"2","900","D","2","D",4,"D","10","D",.,"H",,"A","330","D","310","D","320","D","300","D",,"A",,"A",,"A",,"A",,"A"
"20091",1907345,27,1,"2","200","D","2","D",.,"B","10","D",31,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
