"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20101",1996395,35,0,"5","01","D","100","D",0.0475,"F",20000,"F",15,"F",156,"F",,"A",,"A",,"A",,"A",0,"F",93,"F",93,"F",93,"F",63,"F",63,"F",63,"F",,"A","12","F","2005","F","1","F",,"A",16040,"F",15947,"F",15854,"F","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",1996645,58,0,"5","01","D","100","D",0.0859,"D",20000,"D",10,"D",267,"D",,"B",,"B",,"B",,"B",18,"D",119,"D",119,"D",120,"D",130,"D",130,"D",129,"D",,"A","08","D","2008","D","1","D",,"A",18213,"D",18094,"D",17975,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",1997445,42,0,"5","01","D","100","D",0.065,"F",232394,"V",7,"F",2689,"V",,"B",,"B",,"B",,"B",11,"F",1282,"V",1281,"V",1314,"V",199,"F",197,"F",195,"F",,"A","03","F","2009","F","1","F",,"A",177302,"V",176197,"V",183223,"V","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",1997605,77,0,"5","01","D","100","D",0.08,"F",25000,"F",10,"F",316,"F",,"B",,"B",,"B",,"B",13,"F",203,"F",204,"F",206,"F",100,"F",99,"F",97,"F",,"A","10","F","2004","F","1","F",,"A",14983,"F",14780,"F",14575,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",1997795,92,0,"5","01","D","100","D",0.0859,"F",30000,"F",15,"F",400,"F",,"B",,"B",,"B",,"B",103,"F",102,"F",103,"F",103,"F",195,"F",194,"F",194,"F",,"A","04","F","2007","F","1","F",,"A",27258,"F",27157,"F",27054,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",1998455,88,0,"5","01","D","100","D",0.065,"F",25000,"F",5,"F",489,"F",,"A",,"A",,"A",,"A",0,"F",1282,"V",1281,"V",1314,"V",81,"F",72,"F",63,"F",,"A","07","F","2005","F","2","F",,"A",4285,"F",3820,"F",3351,"F","01","D",,"A",,"A",,"A",1700,"F",1700,"F",1700,"F","1","D","2","D"
"20101",1998455,89,0,"5","01","D","100","D",0.0588,"F",46578,"F",18,"F",350,"F",,"A",,"A",,"A",,"A",0,"F",177,"F",177,"F",178,"F",173,"F",173,"F",172,"F",,"A","06","F","2003","F","1","F",,"A",35398,"F",35221,"F",35044,"F","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",1998565,44,0,"5","01","D","100","D",0.0859,"F",4545,"F",15,"F",45,"F",,"A",,"A",,"A",,"A",0,"F",15,"F",16,"F",16,"F",30,"F",29,"F",29,"F",,"A","05","F","2007","F","1","F",,"A",4129,"F",4114,"F",4099,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",1998855,46,0,"5","01","D","100","D",0.048,"F",19792,"F",10,"F",208,"F",,"A",,"A",,"A",,"A",0,"F",136,"F",137,"F",137,"F",72,"F",71,"F",71,"F",,"A","10","F","2008","F","1","F",,"A",17941,"F",17804,"F",17668,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",2000095,27,0,"5","01","D","100","D",0.05,"F",12000,"F",15,"F",143,"F",,"B",,"B",,"B",,"B",48,"F",45,"F",45,"F",45,"F",50,"F",50,"F",50,"F",,"A","11","F","2009","F","1","F",,"A",12000,"F",11955,"F",11910,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",2002155,55,0,"5","01","D","100","D",0.0859,"D",22020,"D",15,"D",218,"D",,"A",,"A",,"A",,"A",0,"D",74,"D",74,"D",75,"D",144,"D",144,"D",143,"D",,"A","06","D","2007","D","1","D",,"A",20156,"D",20082,"D",20008,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",2002665,28,0,"5","01","D","100","D",0.08,"F",50000,"F",15,"F",800,"F",,"B",,"B",,"B",,"B",322,"F",204,"F",206,"F",207,"F",274,"F",272,"F",271,"F",,"A","08","F","2005","F","1","F",,"A",41044,"F",40840,"F",40634,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",2002665,29,0,"5","01","D","100","D",0.06,"F",26000,"F",5,"F",578,"F",,"B",,"B",,"B",,"B",75,"F",435,"F",438,"F",440,"F",68,"F",65,"F",63,"F",,"A","04","F","2007","F","1","F",,"A",13526,"F",13091,"F",12653,"F","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",2002715,44,0,"5","01","D","100","D",0.045,"D",13447,"D",3,"D",400,"D",,"A",,"A",,"A",,"A",0,"D",0,"D",0,"D",0,"D",400,"D",400,"D",400,"D",,"A","07","D","2009","D","1","D",,"A",13447,"D",13447,"D",13447,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"A","2","D"
"20101",2002805,38,0,"5","01","D","300","D",0.07,"D",30000,"D",15,"D",300,"D",,"B",,"B",,"B",,"B",30,"D",112,"D",113,"D",114,"D",158,"D",157,"D",156,"D",,"A","07","D","2007","D","1","D",,"A",27008,"D",26895,"D",26782,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",2002925,61,0,"5","01","D","100","D",0.0859,"D",10000,"D",15,"D",860,"D",,"B",,"B",,"B",,"B",761,"D",43,"D",43,"D",43,"D",56,"D",56,"D",56,"D",,"A","10","D","2004","D","1","D",,"A",7870,"D",7827,"D",7784,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",2003055,28,0,"5","02","D","300","D",0.09,"D",14000,"D",5,"D",334,"D","3","D","4","D",,"A",,"A",43,"D",238,"D",240,"D",242,"D",53,"D",51,"D",49,"D",,"A","01","D","2007","D","1","D",,"A",7065,"D",6827,"D",6587,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",2003935,51,0,"5","01","D","100","D",0.045,"F",30000,"F",20,"F",190,"F",,"A",,"A",,"A",,"A",0,"F",371,"F",373,"F",374,"F",29,"F",27,"F",26,"F",,"A","07","F","1991","F","2","F",,"A",3650,"F",3474,"F",3298,"F","01","D",,"A",,"A",,"A",400,"F",400,"F",400,"F","1","D","2","D"
"20101",2004455,42,0,"5","01","D","100","D",0.053,"D",48977,"D",15,"D",395,"D",,"A",,"A",,"A",,"A",0,"D",207,"D",208,"D",208,"D",188,"D",187,"D",187,"D",,"A","03","D","2007","D","1","D",,"A",42644,"D",42437,"D",42230,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",2005165,46,0,"5","01","D","100","D",0.07,"D",15000,"D",5,"D",300,"D",,"B",,"B",,"B",,"B",3,"D",282,"D",283,"D",285,"D",15,"D",14,"D",12,"D",,"A","08","D","2005","D","1","D",,"A",2598,"D",2316,"D",2033,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",2005345,31,0,"5","01","D","100","D",0.0799,"D",25000,"D",5,"D",514,"D",,"B",,"B",,"B",,"B",7,"D",389,"D",391,"D",394,"D",118,"D",116,"D",113,"D",,"A","03","D","2008","D","1","D",,"A",17741,"D",17352,"D",16960,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"C",,"A"
"20101",2005505,33,0,"5","01","D","100","D",0.07,"F",36431,"F",10,"F",423,"F",,"A",,"A",,"A",,"A",0,"F",260,"F",261,"F",263,"F",163,"F",162,"F",160,"F",,"A","11","F","2006","F","1","F",,"A",28026,"F",27767,"F",27506,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",2006425,31,0,"5","01","D","100","D",0.07,"F",30000,"F",20,"F",234,"F",,"B",,"B",,"B",,"B",1,"F",64,"F",64,"F",65,"F",169,"F",169,"F",168,"F",,"A","05","F","2008","F","1","F",,"A",28967,"F",28903,"F",28838,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
