PURCHASED,NEWID,UCC,AGE_REF,BLS_URBN,EDUC_REF,FAM_TYPE,HRSPRWK1,FAM_SIZE,FINCBEFX
0,4883101,20510,35.0,1.0,12.0,8.0,40.0,1.0,25000.0
0,4883102,20510,35.0,1.0,12.0,8.0,40.0,1.0,25000.0
0,4784801,20510,30.0,1.0,15.0,8.0,40.0,1.0,75151.0
0,4784821,20510,25.0,1.0,15.0,9.0,45.0,2.0,187000.0
0,4784822,20510,25.0,1.0,15.0,9.0,45.0,2.0,187000.0
0,4719291,20510,70.0,1.0,12.0,1.0,0.0,2.0,0.0
0,4981441,20510,67.0,1.0,14.0,4.0,40.0,3.0,153600.0
0,4981442,20510,67.0,1.0,14.0,4.0,40.0,3.0,153600.0
0,4850381,20510,60.0,1.0,13.0,4.0,15.0,3.0,69000.0
0,4850382,20510,60.0,1.0,13.0,4.0,15.0,3.0,69000.0
0,4981461,20510,22.0,1.0,12.0,9.0,25.0,3.0,9600.0
0,4981462,20510,22.0,1.0,12.0,9.0,25.0,3.0,9600.0
0,4850391,20510,60.0,1.0,14.0,9.0,40.0,2.0,68182.0
0,4850392,20510,60.0,1.0,14.0,9.0,40.0,2.0,68182.0
0,4883162,20510,77.0,1.0,14.0,1.0,0.0,2.0,26364.0
0,4784881,20510,53.0,2.0,15.0,1.0,52.0,2.0,57000.0
0,4784882,20510,53.0,2.0,15.0,1.0,52.0,2.0,57000.0
0,4981491,20510,57.0,1.0,16.0,1.0,40.0,2.0,122280.0
0,4981492,20510,57.0,1.0,16.0,1.0,40.0,2.0,122280.0
0,4850421,20510,23.0,1.0,15.0,9.0,28.0,5.0,4000.0
0,4850422,20510,23.0,1.0,15.0,9.0,28.0,5.0,4000.0
0,4883201,20510,77.0,1.0,12.0,8.0,0.0,1.0,17316.0
0,4883202,20510,77.0,1.0,12.0,8.0,0.0,1.0,17316.0
0,4784902,20510,72.0,1.0,15.0,4.0,0.0,4.0,52800.0
0,4850441,20510,71.0,1.0,16.0,1.0,0.0,2.0,105581.0
0,4883212,20510,76.0,1.0,12.0,8.0,0.0,1.0,0.0
0,4784912,20510,35.0,1.0,12.0,8.0,40.0,1.0,0.0
0,4883231,20510,64.0,1.0,15.0,8.0,40.0,1.0,0.0
0,4883232,20510,36.0,1.0,15.0,8.0,40.0,1.0,0.0
0,4981541,20510,59.0,1.0,15.0,1.0,0.0,2.0,160000.0
0,4981542,20510,59.0,1.0,15.0,1.0,0.0,2.0,160000.0
0,4883251,20510,60.0,1.0,16.0,1.0,0.0,2.0,315000.0
0,4883252,20510,60.0,1.0,16.0,1.0,0.0,2.0,315000.0
0,4850492,20510,33.0,1.0,16.0,2.0,40.0,3.0,127000.0
0,4784961,20510,59.0,1.0,11.0,8.0,0.0,1.0,2304.0
0,4784962,20510,59.0,1.0,11.0,8.0,0.0,1.0,2304.0
0,4981571,20510,65.0,1.0,12.0,8.0,40.0,1.0,40590.0
0,4981572,20510,65.0,1.0,12.0,8.0,40.0,1.0,40590.0
0,4883271,20510,81.0,2.0,15.0,1.0,0.0,2.0,6582.0
0,4883272,20510,81.0,2.0,15.0,1.0,0.0,2.0,6582.0
0,4981581,20510,76.0,2.0,16.0,8.0,24.0,1.0,87782.0
0,4850522,20510,78.0,1.0,12.0,8.0,0.0,1.0,19200.0
0,4719451,20510,31.0,1.0,16.0,1.0,40.0,2.0,126800.0
0,4883291,20510,69.0,1.0,13.0,8.0,40.0,1.0,16182.0
0,4883292,20510,69.0,1.0,13.0,8.0,40.0,1.0,16182.0
0,4981621,20510,28.0,1.0,14.0,8.0,72.0,1.0,52000.0
0,4981622,20510,28.0,1.0,14.0,8.0,72.0,1.0,52000.0
0,4785021,20510,51.0,1.0,14.0,9.0,65.0,2.0,50140.0
0,4785022,20510,51.0,1.0,14.0,9.0,65.0,2.0,50140.0
0,4981631,20510,74.0,1.0,15.0,1.0,0.0,2.0,3564.0
0,4981632,20510,74.0,1.0,15.0,1.0,0.0,2.0,3564.0
0,4719491,20510,21.0,1.0,13.0,8.0,15.0,1.0,3000.0
